OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=HFD,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,6,0,6,0,0,0,0,0,0,0,92,0,92,0,0,8,0,8,38,0,38,136,144
01/02/2017,0,2,1,0,3,0,0,0,0,0,0,0,60,0,60,0,0,20,0,20,56,0,56,119,139
01/03/2017,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
01/04/2017,0,0,10,0,10,0,0,0,0,0,0,0,14,0,14,0,0,14,2,16,6,0,6,30,46
01/05/2017,0,0,2,0,2,0,0,0,0,0,0,0,47,0,47,0,0,26,5,31,40,0,40,89,120
01/06/2017,0,0,2,0,2,0,0,0,0,0,0,0,38,0,38,0,0,26,0,26,24,0,24,64,90
01/07/2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3
01/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,2,0,2,12,0,12,30,32
01/09/2017,0,0,1,0,1,0,0,0,0,0,0,0,60,0,60,0,0,36,0,36,12,0,12,73,109
01/10/2017,0,0,3,0,3,0,0,0,0,0,0,0,11,0,11,0,0,32,0,32,8,0,8,22,54
01/11/2017,0,2,8,0,10,0,0,0,0,0,0,0,71,0,71,0,0,14,3,17,26,0,26,107,124
01/12/2017,0,0,9,0,9,0,0,0,0,0,0,0,9,0,9,0,0,4,0,4,24,0,24,42,46
01/13/2017,0,0,2,0,2,3,0,0,0,3,0,0,41,0,41,0,0,37,0,37,10,0,10,53,93
01/14/2017,0,0,5,0,5,0,0,0,0,0,0,0,82,0,82,0,0,14,0,14,48,0,48,135,149
01/15/2017,0,0,9,0,9,0,0,0,0,0,0,0,109,0,109,0,0,0,0,0,68,0,68,186,186
01/16/2017,0,0,3,0,3,0,0,0,0,0,0,0,125,0,125,0,0,46,0,46,68,0,68,196,242
01/17/2017,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,30,0,30,4,0,4,12,42
01/18/2017,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
01/19/2017,0,4,18,0,22,0,0,0,0,0,0,0,69,0,69,0,0,22,1,23,36,2,38,129,152
01/20/2017,0,0,3,0,3,0,0,0,0,0,0,0,24,0,24,0,0,30,0,30,4,0,4,31,61
01/21/2017,0,0,7,0,7,0,0,0,0,0,0,0,80,0,80,0,0,1,0,1,48,0,48,135,136
