OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=HHR,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,9,3,0,12,0,0,1,0,1,0,6,54,0,60,0,0,33,0,33,22,0,22,94,128
01/02/2017,0,23,15,0,38,1,0,0,0,1,0,18,80,0,98,0,0,25,0,25,68,0,68,204,230
01/03/2017,0,14,9,0,23,0,0,0,0,0,0,25,101,0,126,0,0,17,0,17,74,0,74,223,240
01/04/2017,0,24,10,0,34,0,0,0,0,0,0,12,66,0,78,0,0,22,0,22,94,0,94,206,228
01/05/2017,0,17,8,0,25,1,0,0,0,1,0,18,15,0,33,0,0,9,0,9,8,0,8,66,76
01/06/2017,0,19,7,0,26,1,0,0,0,1,0,26,107,0,133,0,0,41,0,41,54,0,54,213,255
01/07/2017,0,10,6,0,16,0,0,0,0,0,0,8,71,0,79,0,0,30,0,30,100,0,100,195,225
01/08/2017,0,12,10,0,22,0,0,0,0,0,0,20,89,0,109,0,0,20,0,20,166,0,166,297,317
01/09/2017,0,14,3,0,17,1,0,0,0,1,0,5,13,0,18,0,0,18,0,18,2,0,2,37,56
01/10/2017,0,23,10,0,33,0,0,0,0,0,0,10,20,0,30,0,0,11,0,11,0,0,0,63,74
01/11/2017,0,17,4,0,21,0,0,0,0,0,0,17,43,0,60,0,0,4,0,4,16,0,16,97,101
01/12/2017,0,17,7,3,27,0,0,0,0,0,0,9,16,0,25,0,0,2,0,2,2,0,2,54,56
01/13/2017,0,21,11,0,32,0,0,0,0,0,0,16,100,0,116,0,3,43,0,46,90,0,90,238,284
01/14/2017,0,7,6,0,13,1,0,0,0,1,0,7,139,0,146,0,0,15,2,17,54,0,54,213,231
01/15/2017,0,4,10,0,14,0,0,0,0,0,0,13,77,0,90,0,0,14,0,14,92,0,92,196,210
01/16/2017,0,12,13,0,25,0,0,0,0,0,0,9,116,0,125,0,0,37,0,37,64,0,64,214,251
01/17/2017,0,12,7,0,19,0,0,0,0,0,0,20,105,0,125,0,0,36,0,36,82,0,82,226,262
01/18/2017,0,24,18,0,42,0,0,0,0,0,0,8,96,2,106,0,0,20,0,20,94,0,94,242,262
01/19/2017,0,24,20,0,44,0,0,0,0,0,0,30,56,0,86,0,0,27,0,27,50,0,50,180,207
01/20/2017,0,28,4,0,32,0,0,0,0,0,0,11,18,0,29,0,0,2,0,2,20,0,20,81,83
01/21/2017,0,5,9,0,14,0,0,0,0,0,0,7,122,0,129,0,0,30,0,30,104,0,104,247,277
