OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=HNL,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,440,79,50,6,575,0,0,0,0,0,0,167,71,4,242,0,0,0,0,0,0,0,0,817,817
01/02/2017,470,93,41,17,621,0,0,0,0,0,0,191,88,2,281,0,0,0,0,0,0,0,0,902,902
01/03/2017,428,101,26,56,611,0,0,0,0,0,0,215,126,4,345,0,2,0,0,2,0,0,0,956,958
01/04/2017,455,102,18,58,633,0,0,0,0,0,0,232,104,6,342,0,0,0,0,0,0,0,0,975,975
01/05/2017,454,103,29,52,638,0,0,0,0,0,0,159,121,11,291,0,0,0,0,0,0,0,0,929,929
01/06/2017,474,118,29,41,662,0,0,0,0,0,0,171,111,3,285,0,0,0,2,2,0,0,0,947,949
01/07/2017,426,87,27,59,599,0,0,0,0,0,0,100,93,4,197,0,0,0,0,0,0,0,0,796,796
01/08/2017,420,74,16,24,534,0,0,0,0,0,0,179,107,13,299,0,0,0,0,0,0,0,0,833,833
01/09/2017,423,101,21,28,573,0,0,0,0,0,0,160,84,11,255,0,0,0,7,7,0,0,0,828,835
01/10/2017,428,82,30,59,599,0,0,0,0,0,0,146,115,8,269,0,0,0,0,0,0,0,0,868,868
01/11/2017,414,127,36,64,641,0,0,0,0,0,0,130,95,8,233,0,0,0,0,0,0,2,2,876,876
01/12/2017,461,102,28,78,669,0,0,0,0,0,0,127,101,4,232,0,0,0,0,0,0,0,0,901,901
01/13/2017,466,104,19,43,632,0,0,0,0,0,0,150,110,14,274,0,0,0,0,0,0,0,0,906,906
01/14/2017,440,86,23,26,575,0,0,0,0,0,0,127,73,1,201,0,0,0,0,0,0,0,0,776,776
01/15/2017,418,69,16,19,522,0,0,0,0,0,0,157,75,1,233,0,0,0,0,0,0,0,0,755,755
01/16/2017,409,90,30,23,552,0,0,0,0,0,0,206,96,3,305,0,1,0,0,1,0,0,0,857,858
01/17/2017,411,115,31,54,611,0,0,0,0,0,0,101,59,11,171,0,0,0,0,0,0,0,0,782,782
01/18/2017,419,112,25,62,618,0,0,0,0,0,0,174,95,15,284,0,0,1,0,1,0,0,0,902,903
01/19/2017,443,109,22,76,650,0,0,0,0,0,0,164,80,8,252,0,0,0,0,0,0,0,0,902,902
01/20/2017,475,121,45,73,714,0,0,0,0,0,0,111,78,6,195,0,0,0,0,0,0,0,0,909,909
01/21/2017,426,99,39,52,616,0,0,0,0,0,0,34,21,1,56,0,0,0,3,3,0,0,0,672,675
