OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=HQZ,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,5,0,5,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,46,0,46,73,73
01/02/2017,0,0,2,0,2,0,0,0,0,0,0,0,99,0,99,0,0,12,0,12,158,0,158,259,271
01/03/2017,0,2,5,0,7,0,0,0,0,0,0,2,24,0,26,0,4,6,0,10,20,0,20,53,63
01/04/2017,0,0,13,0,13,0,0,0,0,0,0,0,140,0,140,0,8,26,0,34,196,0,196,349,383
01/05/2017,0,1,6,0,7,0,0,0,0,0,0,0,15,2,17,0,0,4,0,4,24,0,24,48,52
01/06/2017,0,0,2,0,2,0,0,0,0,0,0,0,7,0,7,0,0,4,0,4,10,0,10,19,23
01/07/2017,0,0,3,0,3,0,0,0,0,0,0,0,110,0,110,0,0,20,6,26,124,0,124,237,263
01/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,118,0,118,0,2,14,2,18,80,0,80,198,216
01/09/2017,0,1,9,0,10,0,0,0,0,0,0,0,70,0,70,0,0,10,0,10,0,0,0,80,90
01/10/2017,0,1,3,0,4,0,0,0,0,0,0,0,65,0,65,0,0,22,0,22,84,0,84,153,175
01/11/2017,0,4,7,0,11,0,0,0,0,0,0,0,64,0,64,0,0,28,0,28,10,0,10,85,113
01/12/2017,0,1,10,0,11,0,0,0,0,0,0,0,72,0,72,0,4,6,0,10,122,0,122,205,215
01/13/2017,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/14/2017,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
01/15/2017,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,5
01/16/2017,0,1,7,0,8,0,0,0,0,0,0,2,72,0,74,0,0,4,0,4,98,0,98,180,184
01/17/2017,0,0,3,0,3,0,0,0,0,0,0,4,45,0,49,0,0,10,0,10,80,0,80,132,142
01/18/2017,0,6,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
01/19/2017,0,2,14,0,16,0,0,0,0,0,0,0,67,0,67,0,0,6,0,6,70,0,70,153,159
01/20/2017,0,1,7,0,8,0,0,0,0,0,0,0,86,0,86,0,0,22,0,22,108,0,108,202,224
01/21/2017,0,0,3,0,3,0,0,0,0,0,0,0,22,0,22,0,0,6,0,6,40,0,40,65,71
