OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=HUT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,1,0,1,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,2,0,2,6,6
01/02/2017,0,0,25,0,25,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,157,0,157,203,203
01/03/2017,0,0,5,2,7,0,0,0,0,0,0,0,8,0,8,0,14,2,0,16,26,4,30,45,61
01/04/2017,0,2,12,0,14,0,0,0,0,0,0,2,25,0,27,0,4,2,0,6,60,0,60,101,107
01/05/2017,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,9
01/06/2017,0,0,4,4,8,0,0,0,0,0,0,1,22,2,25,0,8,2,0,10,30,0,30,63,73
01/07/2017,0,2,1,2,5,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,24,0,24,41,41
01/08/2017,0,2,0,4,6,0,0,0,0,0,0,0,10,0,10,0,2,0,0,2,6,0,6,22,24
01/09/2017,0,0,7,2,9,0,0,0,0,0,0,0,6,0,6,0,0,2,0,2,36,4,40,55,57
01/10/2017,0,2,8,10,20,0,0,0,0,0,0,0,12,8,20,0,4,4,0,8,48,20,68,108,116
01/11/2017,0,1,18,0,19,0,0,0,0,0,0,0,22,0,22,0,8,2,0,10,86,0,86,127,137
01/12/2017,0,0,9,0,9,0,0,0,0,0,0,0,23,6,29,0,6,2,0,8,34,0,34,72,80
01/13/2017,0,2,5,0,7,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,16,0,16,25,25
01/14/2017,0,0,1,0,1,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,2,0,2,8,8
01/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/16/2017,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,19,19
01/17/2017,0,0,9,10,19,0,0,0,0,0,0,1,24,0,25,0,4,0,0,4,80,12,92,136,140
01/18/2017,0,2,10,0,12,0,0,0,0,0,0,0,13,0,13,0,4,2,0,6,24,0,24,49,55
01/19/2017,0,1,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14,25,25
01/20/2017,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,49,49
01/21/2017,0,0,8,0,8,0,0,0,0,0,0,0,27,0,27,0,0,2,0,2,98,0,98,133,135
