OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=HWO,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,9,0,9,0,0,6,0,6,0,0,114,0,114,0,0,16,4,20,110,0,110,233,259
01/02/2017,0,0,12,0,12,0,4,20,0,24,0,0,141,0,141,0,6,34,0,40,176,0,176,329,393
01/03/2017,0,0,5,0,5,0,8,22,0,30,0,0,129,0,129,0,0,46,0,46,246,0,246,380,456
01/04/2017,0,0,10,0,10,0,10,12,6,28,0,0,124,0,124,0,0,38,0,38,310,0,310,444,510
01/05/2017,0,0,16,0,16,0,10,4,0,14,0,0,207,0,207,0,0,34,0,34,362,0,362,585,633
01/06/2017,0,0,10,0,10,0,2,8,0,10,0,0,206,0,206,0,0,30,0,30,440,0,440,656,696
01/07/2017,0,0,1,0,1,2,0,8,0,10,0,0,101,0,101,0,0,12,0,12,196,0,196,298,320
01/08/2017,0,0,3,0,3,0,0,10,0,10,0,0,133,0,133,0,0,18,2,20,258,0,258,394,424
01/09/2017,0,0,7,0,7,0,8,10,0,18,0,0,153,0,153,0,2,56,0,58,284,0,284,444,520
01/10/2017,0,0,4,0,4,2,8,8,0,18,0,0,119,0,119,0,0,52,0,52,390,0,390,513,583
01/11/2017,0,0,5,0,5,0,8,20,0,28,0,0,180,0,180,0,0,38,0,38,394,0,394,579,645
01/12/2017,0,0,9,0,9,0,10,8,4,22,0,0,189,0,189,0,0,54,0,54,664,0,664,862,938
01/13/2017,0,0,7,0,7,0,0,14,0,14,0,0,172,0,172,0,0,20,0,20,498,0,498,677,711
01/14/2017,0,0,8,0,8,0,0,8,0,8,0,0,206,0,206,0,0,22,0,22,432,0,432,646,676
01/15/2017,0,0,10,0,10,0,0,4,0,4,0,0,158,0,158,0,0,6,0,6,224,0,224,392,402
01/16/2017,0,0,11,0,11,0,4,10,0,14,0,0,217,0,217,0,0,110,0,110,360,0,360,588,712
01/17/2017,0,0,18,0,18,0,2,2,14,18,0,0,207,0,207,0,0,24,0,24,540,0,540,765,807
01/18/2017,0,0,7,0,7,2,2,24,0,28,0,0,204,0,204,0,0,56,0,56,642,0,642,853,937
01/19/2017,0,0,8,0,8,0,4,16,0,20,0,0,212,0,212,0,2,54,0,56,858,0,858,1078,1154
01/20/2017,0,0,13,0,13,2,0,14,2,18,0,0,261,0,261,0,0,38,0,38,626,0,626,900,956
01/21/2017,0,0,8,0,8,0,2,8,0,10,0,0,240,0,240,0,0,30,0,30,432,0,432,680,720
