OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=HYI,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,8,0,8,0,0,0,0,0,0,0,31,0,31,0,0,0,0,0,6,0,6,45,45
01/02/2017,0,0,13,0,13,0,0,0,0,0,0,1,55,0,56,0,1,3,0,4,54,0,54,123,127
01/03/2017,0,2,9,0,11,0,0,0,0,0,0,0,81,0,81,0,0,9,0,9,72,0,72,164,173
01/04/2017,0,0,10,0,10,0,0,0,0,0,0,2,22,0,24,0,2,2,0,4,40,0,40,74,78
01/05/2017,0,2,18,2,22,0,0,0,0,0,0,1,45,0,46,0,0,4,0,4,44,0,44,112,116
01/06/2017,0,4,5,0,9,0,0,0,0,0,0,1,12,0,13,0,0,0,2,2,2,0,2,24,26
01/07/2017,0,1,18,0,19,0,0,0,0,0,0,0,75,2,77,0,0,0,0,0,38,8,46,142,142
01/08/2017,0,0,15,0,15,0,0,0,0,0,0,0,62,0,62,0,0,3,0,3,36,0,36,113,116
01/09/2017,0,0,18,0,18,0,0,0,0,0,0,0,36,0,36,0,0,0,2,2,36,0,36,90,92
01/10/2017,0,3,18,2,23,0,0,0,0,0,0,8,63,0,71,0,0,7,0,7,44,0,44,138,145
01/11/2017,0,0,24,2,26,0,0,0,0,0,0,8,21,3,32,0,0,0,2,2,14,4,18,76,78
01/12/2017,0,7,43,0,50,0,0,2,0,2,0,4,31,0,35,0,0,0,0,0,70,0,70,155,157
01/13/2017,0,2,29,3,34,0,0,0,0,0,0,0,27,1,28,0,0,0,0,0,42,8,50,112,112
01/14/2017,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
01/15/2017,0,0,3,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5,5
01/16/2017,0,2,7,0,9,0,0,0,0,0,0,1,23,0,24,0,0,2,0,2,30,0,30,63,65
01/17/2017,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
01/18/2017,0,13,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
01/19/2017,0,3,34,0,37,0,0,0,0,0,0,0,69,0,69,0,2,0,0,2,82,0,82,188,190
01/20/2017,0,3,32,0,35,0,0,0,0,0,0,0,80,0,80,0,4,1,0,5,104,0,104,219,224
01/21/2017,0,3,23,0,26,0,0,0,0,0,0,0,63,0,63,0,0,0,0,0,118,0,118,207,207
