OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=IAD,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,450,183,45,0,678,0,2,1,0,3,0,0,2,0,2,0,7,10,0,17,0,0,0,680,700
01/02/2017,494,235,92,0,821,2,2,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,821,827
01/03/2017,501,204,72,0,777,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,777,780
01/04/2017,487,185,97,1,770,0,0,0,0,0,0,3,1,0,4,0,8,8,1,17,0,0,0,774,791
01/05/2017,473,162,80,1,716,0,0,1,0,1,0,2,2,0,4,0,5,5,0,10,0,0,0,720,731
01/06/2017,452,183,98,0,733,0,1,0,0,1,0,0,6,0,6,0,3,13,1,17,0,0,0,739,757
01/07/2017,387,136,59,0,582,0,1,1,0,2,0,0,0,0,0,0,3,1,1,5,0,0,0,582,589
01/08/2017,440,141,53,1,635,0,1,0,0,1,0,0,1,0,1,0,4,4,2,10,0,0,0,636,647
01/09/2017,453,160,78,1,692,0,0,0,0,0,0,0,0,0,0,0,1,6,0,7,0,0,0,692,699
01/10/2017,450,156,102,1,709,0,1,1,0,2,0,0,3,0,3,0,3,7,0,10,0,0,0,712,724
01/11/2017,440,186,128,0,754,0,0,1,0,1,0,0,0,0,0,0,2,6,0,8,0,0,0,754,763
01/12/2017,469,175,109,1,754,0,1,1,0,2,0,0,3,0,3,0,1,6,1,8,0,0,0,757,767
01/13/2017,453,196,91,0,740,0,1,1,0,2,0,2,3,0,5,0,7,17,0,24,0,0,0,745,771
01/14/2017,380,106,29,0,515,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,515,516
01/15/2017,390,140,58,0,588,0,1,0,0,1,0,0,1,0,1,0,3,3,1,7,0,0,0,589,597
01/16/2017,452,187,93,0,732,0,2,0,0,2,0,0,0,0,0,0,1,15,2,18,0,0,0,732,752
01/17/2017,453,212,146,0,811,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,811,814
01/18/2017,447,244,206,0,897,1,1,0,0,2,0,0,3,0,3,0,0,12,0,12,0,0,0,900,914
01/19/2017,460,260,218,0,938,0,1,2,0,3,0,3,6,0,9,0,3,7,4,14,0,0,0,947,964
01/20/2017,457,218,127,0,802,0,1,0,0,1,0,2,0,0,2,0,1,5,0,6,0,0,0,804,811
01/21/2017,401,244,253,0,898,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,898,902
