OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=IAG,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,6,0,7,0,13,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,2,0,2,27,27
01/02/2017,6,1,1,0,8,0,0,0,0,0,0,0,4,0,4,0,0,12,0,12,0,0,0,12,24
01/03/2017,8,3,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
01/04/2017,4,0,1,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,7
01/05/2017,6,0,5,6,17,0,0,0,0,0,0,0,8,4,12,0,0,0,0,0,0,10,10,39,39
01/06/2017,6,1,7,6,20,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,2,8,10,49,49
01/07/2017,4,0,4,0,8,0,0,0,0,0,0,0,10,0,10,0,0,4,0,4,0,0,0,18,22
01/08/2017,6,0,8,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/09/2017,8,2,12,1,23,0,0,0,0,0,0,0,4,0,4,0,0,2,0,2,0,0,0,27,29
01/10/2017,2,0,4,0,6,0,0,0,0,0,0,0,6,0,6,0,0,2,0,2,0,0,0,12,14
01/11/2017,2,2,7,4,15,0,0,0,0,0,0,0,7,8,15,0,0,2,0,2,0,2,2,32,34
01/12/2017,6,0,3,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
01/13/2017,6,0,1,21,28,0,0,0,0,0,0,0,16,0,16,0,0,6,0,6,8,0,8,52,58
01/14/2017,2,0,6,0,8,0,0,0,0,0,0,0,6,0,6,0,0,6,0,6,10,0,10,24,30
01/15/2017,5,0,7,0,12,0,0,0,0,0,0,0,14,0,14,0,0,10,0,10,10,0,10,36,46
01/16/2017,8,0,1,0,9,0,0,0,0,0,0,0,17,0,17,0,0,2,0,2,2,0,2,28,30
01/17/2017,2,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/18/2017,2,1,3,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/19/2017,4,1,11,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
01/20/2017,8,0,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
01/21/2017,6,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
