OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=IDA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,5,12,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
01/02/2017,2,12,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
01/03/2017,5,22,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
01/04/2017,3,31,2,0,36,0,2,0,0,2,0,2,3,0,5,0,4,2,0,6,6,0,6,47,55
01/05/2017,5,17,0,0,22,0,2,0,0,2,0,30,27,0,57,0,14,4,0,18,36,0,36,115,135
01/06/2017,4,18,1,0,23,0,2,0,0,2,0,3,14,0,17,0,2,2,0,4,22,0,22,62,68
01/07/2017,7,18,3,0,28,0,0,0,0,0,0,2,15,0,17,0,2,0,0,2,6,0,6,51,53
01/08/2017,5,13,1,0,19,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21
01/09/2017,4,28,2,0,34,0,2,0,0,2,0,1,8,0,9,0,0,0,0,0,2,0,2,45,47
01/10/2017,3,26,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
01/11/2017,4,28,2,0,34,0,0,0,0,0,0,3,1,2,6,0,2,0,2,4,0,0,0,40,44
01/12/2017,10,21,1,0,32,0,2,0,0,2,2,24,14,2,42,0,30,0,0,30,30,0,30,104,136
01/13/2017,9,22,1,0,32,0,2,0,0,2,0,16,43,0,59,0,2,12,0,14,22,0,22,113,129
01/14/2017,5,14,4,0,23,0,2,0,0,2,0,7,40,0,47,0,4,4,0,8,60,0,60,130,140
01/15/2017,6,4,0,0,10,0,0,0,0,0,0,1,20,0,21,0,2,10,0,12,28,0,28,59,71
01/16/2017,4,16,0,0,20,0,4,0,0,4,0,8,33,0,41,0,10,0,0,10,102,0,102,163,177
01/17/2017,3,18,0,0,21,0,2,0,0,2,0,5,12,0,17,0,4,4,0,8,22,0,22,60,70
01/18/2017,5,14,2,0,21,0,0,0,0,0,0,8,14,0,22,0,18,8,0,26,20,0,20,63,89
01/19/2017,5,24,1,0,30,0,4,0,0,4,0,5,0,0,5,0,6,0,0,6,0,0,0,35,45
01/20/2017,5,24,2,0,31,0,2,0,0,2,0,10,6,0,16,0,10,4,0,14,4,0,4,51,67
01/21/2017,3,12,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
