OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ILM,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,19,16,39,0,74,0,0,0,0,0,0,0,11,0,11,0,3,1,0,4,36,0,36,121,125
01/02/2017,19,36,60,1,116,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,118,119
01/03/2017,20,33,55,17,125,1,0,0,0,1,0,0,3,0,3,0,0,2,0,2,0,0,0,128,131
01/04/2017,20,25,48,32,125,0,0,0,0,0,0,2,13,0,15,0,0,1,0,1,0,0,0,140,141
01/05/2017,20,25,59,29,133,0,0,0,0,0,0,1,28,4,33,0,9,0,1,10,18,36,54,220,230
01/06/2017,19,27,41,48,135,0,0,0,0,0,0,2,23,2,27,0,2,1,1,4,21,44,65,227,231
01/07/2017,8,8,6,0,22,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,24,25
01/08/2017,20,19,34,1,74,0,1,0,0,1,0,2,6,2,10,0,0,0,0,0,0,0,0,84,85
01/09/2017,19,15,20,4,58,0,0,1,0,1,0,0,8,0,8,0,4,0,0,4,0,0,0,66,71
01/10/2017,19,16,31,44,110,0,0,0,0,0,0,1,5,4,10,0,1,0,1,2,4,10,14,134,136
01/11/2017,20,29,37,35,121,0,2,0,0,2,0,1,20,1,22,0,3,0,1,4,0,0,0,143,149
01/12/2017,20,26,59,17,122,0,0,0,0,0,0,0,18,4,22,0,4,0,0,4,14,0,14,158,162
01/13/2017,20,25,49,20,114,0,0,0,0,0,0,2,31,4,37,0,5,0,1,6,18,0,18,169,175
01/14/2017,18,11,30,6,65,0,0,0,0,0,0,2,24,3,29,0,7,0,0,7,75,0,75,169,176
01/15/2017,17,10,24,1,52,0,0,0,0,0,0,1,29,3,33,0,6,0,0,6,40,8,48,133,139
01/16/2017,19,25,16,3,63,0,0,0,0,0,0,0,5,0,5,0,3,0,0,3,30,0,30,98,101
01/17/2017,19,26,22,36,103,0,0,2,0,2,0,2,17,0,19,0,4,0,0,4,7,11,18,140,146
01/18/2017,22,26,47,5,100,0,0,0,0,0,0,2,18,5,25,0,6,0,0,6,2,0,2,127,133
01/19/2017,18,21,43,29,111,0,0,0,0,0,0,0,28,6,34,0,4,4,1,9,56,0,56,201,210
01/20/2017,20,20,55,39,134,0,0,0,0,0,0,2,16,2,20,0,3,0,4,7,18,16,34,188,195
01/21/2017,20,10,28,10,68,0,0,0,1,1,0,0,3,3,6,0,1,0,0,1,0,0,0,74,76
