OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=INT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,9,12,0,21,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,6,29,29
01/02/2017,2,14,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
01/03/2017,1,9,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
01/04/2017,0,17,35,2,54,0,0,0,0,0,0,1,64,1,66,0,8,0,0,8,54,0,54,174,182
01/05/2017,0,16,20,3,39,0,0,0,0,0,0,6,81,0,87,0,6,0,0,6,62,0,62,188,194
01/06/2017,0,11,4,1,16,0,0,0,0,0,0,3,18,0,21,0,4,2,0,6,58,0,58,95,101
01/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2017,1,13,9,0,23,0,0,0,0,0,0,7,14,0,21,0,0,0,0,0,8,0,8,52,52
01/09/2017,1,16,16,0,33,0,0,0,0,0,0,4,32,0,36,0,0,0,0,0,28,0,28,97,97
01/10/2017,1,26,26,0,53,0,0,0,0,0,0,6,34,0,40,0,4,0,0,4,68,0,68,161,165
01/11/2017,0,18,23,0,41,0,0,0,0,0,0,0,34,0,34,0,6,0,0,6,38,0,38,113,119
01/12/2017,2,16,16,2,36,0,0,2,0,2,0,0,39,5,44,0,12,2,0,14,38,4,42,122,138
01/13/2017,0,10,17,0,27,0,0,2,0,2,0,0,112,2,114,0,20,6,0,26,100,6,106,247,275
01/14/2017,0,4,19,0,23,0,0,0,0,0,0,11,122,0,133,0,8,0,0,8,44,0,44,200,208
01/15/2017,1,4,7,0,12,0,0,0,0,0,0,11,51,6,68,0,4,0,0,4,50,0,50,130,134
01/16/2017,0,13,36,0,49,0,0,0,0,0,0,3,25,0,28,0,0,0,0,0,48,0,48,125,125
01/17/2017,0,13,21,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,34,36
01/18/2017,0,15,20,6,41,0,0,0,0,0,0,5,56,5,66,0,10,10,0,20,16,0,16,123,143
01/19/2017,0,9,13,0,22,0,0,0,0,0,0,0,92,4,96,0,22,2,0,24,68,0,68,186,210
01/20/2017,0,31,10,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41
01/21/2017,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
