OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ISO,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2017,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01/03/2017,0,1,2,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/04/2017,0,0,9,14,23,0,0,0,0,0,0,0,1,0,1,0,4,6,0,10,18,10,28,52,62
01/05/2017,0,1,1,10,12,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,6,20,26,46,46
01/06/2017,0,0,1,12,13,0,0,0,2,2,0,0,5,4,9,0,6,0,0,6,8,46,54,76,84
01/07/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
01/08/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,2,8
01/09/2017,0,2,6,12,20,0,0,0,0,0,0,0,3,0,3,0,2,0,0,2,0,4,4,27,29
01/10/2017,0,1,12,16,29,0,0,0,0,0,0,4,11,5,20,0,4,0,0,4,20,50,70,119,123
01/11/2017,1,3,9,19,32,0,0,0,0,0,0,3,9,0,12,0,2,10,2,14,12,32,44,88,102
01/12/2017,0,0,4,4,8,0,0,0,2,2,0,4,19,6,29,0,10,0,0,10,32,56,88,125,137
01/13/2017,1,0,12,1,14,0,0,0,0,0,0,9,17,7,33,0,2,6,4,12,28,34,62,109,121
01/14/2017,1,2,5,4,12,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,12,16
01/15/2017,0,1,4,0,5,0,0,0,0,0,0,0,9,10,19,2,2,0,0,4,12,0,12,36,40
01/16/2017,0,0,7,0,7,0,2,0,0,2,0,0,3,4,7,0,2,0,0,2,0,32,32,46,50
01/17/2017,0,0,5,48,53,0,0,0,4,4,0,0,0,6,6,0,2,0,0,2,0,34,34,93,99
01/18/2017,1,0,4,14,19,0,0,0,8,8,0,6,7,4,17,0,6,0,4,10,6,18,24,60,78
01/20/2017,0,2,11,16,29,0,0,4,2,6,0,0,3,0,3,0,2,4,0,6,0,18,18,50,62
01/21/2017,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
01/22/2017,0,2,1,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
