OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=IWA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,34,3,2,0,39,0,0,0,0,0,0,6,3,0,9,0,2,3,0,5,18,0,18,66,71
01/02/2017,35,9,25,0,69,0,0,0,0,0,0,71,76,0,147,0,8,10,0,18,400,0,400,616,634
01/03/2017,42,28,37,0,107,0,0,0,0,0,0,90,158,0,248,0,0,16,0,16,546,0,546,901,917
01/04/2017,34,13,38,6,91,0,0,0,0,0,0,88,187,29,304,0,5,15,3,23,590,72,662,1057,1080
01/05/2017,30,19,60,6,115,0,0,0,0,0,0,112,139,12,263,0,5,6,3,14,642,90,732,1110,1124
01/06/2017,42,24,64,0,130,0,0,1,0,1,0,75,143,11,229,0,0,16,2,18,513,82,595,954,973
01/07/2017,22,22,58,2,104,0,0,0,0,0,0,76,93,10,179,0,4,18,1,23,346,13,359,642,665
01/08/2017,37,19,48,2,106,0,0,0,0,0,0,45,51,5,101,0,7,14,0,21,181,0,181,388,409
01/09/2017,32,34,71,11,148,0,0,0,0,0,0,91,129,23,243,0,13,11,0,24,429,78,507,898,922
01/10/2017,13,40,73,12,138,0,0,1,0,1,0,59,182,19,260,0,0,6,4,10,423,100,523,921,932
01/11/2017,27,23,74,4,128,0,0,0,0,0,0,89,176,23,288,0,5,14,1,20,617,158,775,1191,1211
01/12/2017,31,25,67,4,127,0,0,0,0,0,0,62,147,18,227,0,3,12,1,16,408,128,536,890,906
01/13/2017,36,12,86,26,160,0,0,0,0,0,0,25,179,4,208,0,3,8,0,11,393,116,509,877,888
01/14/2017,18,24,22,2,66,0,0,0,0,0,0,67,76,0,143,0,3,10,0,13,170,0,170,379,392
01/15/2017,33,26,35,2,96,0,0,0,0,0,0,19,36,0,55,0,0,2,0,2,267,0,267,418,420
01/16/2017,28,24,62,6,120,0,0,0,0,0,0,75,101,10,186,0,12,19,0,31,537,128,665,971,1002
01/17/2017,21,40,97,0,158,0,0,0,0,0,0,82,205,12,299,0,5,19,0,24,469,62,531,988,1012
01/18/2017,29,51,86,4,170,0,0,0,0,0,0,80,212,28,320,0,5,21,8,34,420,107,527,1017,1051
01/19/2017,36,17,25,15,93,0,0,2,0,2,0,61,66,26,153,0,3,12,3,18,467,89,556,802,822
01/20/2017,42,28,25,12,107,0,0,0,0,0,0,11,29,0,40,0,0,1,1,2,212,0,212,359,361
01/21/2017,23,23,27,9,82,0,1,2,0,3,0,39,44,2,85,0,1,7,0,8,59,0,59,226,237
