OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=JAN,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,18,25,15,0,58,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,60
01/02/2017,16,28,10,1,55,0,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,57,58
01/03/2017,19,30,16,23,88,0,2,14,1,17,0,6,5,1,12,0,6,20,1,27,8,54,62,162,206
01/04/2017,18,28,25,53,124,0,0,13,1,14,0,2,6,2,10,0,3,21,0,24,2,124,126,260,298
01/05/2017,18,46,29,31,124,0,0,17,3,20,0,2,4,1,7,0,1,14,0,15,2,75,77,208,243
01/06/2017,14,11,4,0,29,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,29,35
01/07/2017,5,10,9,4,28,0,0,4,0,4,0,0,5,5,10,0,5,12,0,17,0,14,14,52,73
01/08/2017,18,19,15,24,76,0,0,3,0,3,0,0,5,5,10,0,1,15,2,18,4,20,24,110,131
01/09/2017,27,30,22,21,100,0,2,10,0,12,0,3,6,3,12,0,4,13,1,18,0,96,96,208,238
01/10/2017,27,26,19,31,103,0,0,7,1,8,0,1,3,5,9,0,2,16,3,21,2,138,140,252,281
01/11/2017,25,37,16,66,144,0,0,7,1,8,0,0,1,3,4,0,0,11,1,12,4,140,144,292,312
01/12/2017,25,27,18,46,116,0,1,14,2,17,0,5,3,0,8,0,4,15,1,20,2,108,110,234,271
01/13/2017,26,34,20,23,103,0,0,11,0,11,0,1,3,1,5,0,2,12,0,14,4,72,76,184,209
01/14/2017,15,12,9,7,43,0,0,9,1,10,0,7,2,0,9,0,3,19,0,22,0,0,0,52,84
01/15/2017,18,19,12,1,50,0,0,15,0,15,0,1,3,0,4,0,5,14,0,19,2,0,2,56,90
01/16/2017,28,21,13,15,77,0,0,10,0,10,0,2,3,0,5,0,7,17,0,24,2,24,26,108,142
01/17/2017,27,30,25,36,118,0,0,6,1,7,0,1,1,2,4,0,1,9,1,11,0,34,34,156,174
01/18/2017,25,35,33,26,119,0,1,12,0,13,0,0,4,0,4,0,3,7,0,10,2,38,40,163,186
01/19/2017,23,28,15,30,96,1,0,3,0,4,0,1,0,0,1,0,0,0,0,0,0,28,28,125,129
01/20/2017,25,30,19,58,132,0,0,10,3,13,0,2,4,2,8,0,6,16,0,22,0,154,154,294,329
01/21/2017,17,18,9,29,73,0,0,6,0,6,0,1,3,2,6,0,2,10,1,13,2,30,32,111,130
