OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=JFK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,1126,70,10,0,1206,0,0,0,0,0,0,0,11,0,11,0,0,43,0,43,0,0,0,1217,1260
01/02/2017,1176,79,8,0,1263,1,0,1,0,2,0,0,2,0,2,0,0,19,0,19,0,0,0,1265,1286
01/03/2017,1123,81,12,0,1216,1,1,2,0,4,0,3,0,0,3,0,1,0,0,1,0,0,0,1219,1224
01/04/2017,1109,83,11,2,1205,0,0,1,0,1,0,7,6,0,13,0,1,45,0,46,0,0,0,1218,1265
01/05/2017,1099,79,4,0,1182,0,0,0,0,0,0,9,2,0,11,0,1,45,0,46,0,0,0,1193,1239
01/06/2017,1091,75,5,0,1171,1,0,0,0,1,0,5,19,0,24,0,1,39,2,42,0,0,0,1195,1238
01/07/2017,775,19,5,0,799,1,0,0,0,1,0,0,0,0,0,0,0,9,0,9,0,0,0,799,809
01/08/2017,1095,81,16,1,1193,1,0,0,0,1,0,4,1,0,5,0,0,28,1,29,0,0,0,1198,1228
01/09/2017,1119,102,12,0,1233,1,0,0,0,1,0,2,14,0,16,0,0,37,2,39,0,0,0,1249,1289
01/10/2017,1054,96,10,0,1160,1,0,0,0,1,0,7,27,0,34,0,2,38,3,43,0,0,0,1194,1238
01/11/2017,1054,103,8,2,1167,0,0,0,0,0,0,6,2,0,8,0,2,39,0,41,0,0,0,1175,1216
01/12/2017,1094,103,15,1,1213,2,1,0,0,3,0,6,4,0,10,0,2,36,0,38,0,0,0,1223,1264
01/13/2017,1092,102,13,3,1210,0,0,0,0,0,0,5,18,2,25,0,3,48,1,52,0,0,0,1235,1287
01/14/2017,986,70,10,0,1066,2,0,1,0,3,0,0,2,0,2,0,0,14,0,14,0,0,0,1068,1085
01/15/2017,1079,87,9,0,1175,0,0,1,0,1,0,2,12,2,16,0,0,31,0,31,0,0,0,1191,1223
01/16/2017,1056,106,8,0,1170,0,0,1,0,1,0,0,9,0,9,0,1,45,0,46,0,0,0,1179,1226
01/17/2017,1024,104,4,0,1132,0,0,1,0,1,0,7,4,0,11,0,2,12,0,14,0,0,0,1143,1158
01/18/2017,1047,104,12,0,1163,0,0,0,0,0,0,7,4,0,11,0,4,24,0,28,0,0,0,1174,1202
01/19/2017,1095,107,2,2,1206,2,0,2,0,4,0,6,10,0,16,0,2,59,3,64,0,0,0,1222,1290
01/20/2017,1079,98,9,0,1186,0,0,0,0,0,0,6,6,0,12,0,1,29,0,30,0,0,0,1198,1228
