OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=JQF,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,7,1,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
01/02/2017,5,3,21,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
01/03/2017,1,7,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
01/04/2017,4,3,33,0,40,0,0,0,0,0,0,8,66,0,74,0,0,6,0,6,4,0,4,118,124
01/05/2017,4,1,33,0,38,0,0,0,0,0,0,10,83,0,93,0,4,6,0,10,72,0,72,203,213
01/06/2017,6,1,28,0,35,0,0,0,0,0,0,3,32,3,38,0,0,0,0,0,72,0,72,145,145
01/07/2017,5,2,2,0,9,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,12,12
01/08/2017,6,0,20,0,26,0,0,0,0,0,0,8,18,0,26,0,4,6,0,10,32,0,32,84,94
01/09/2017,6,6,33,0,45,0,0,0,0,0,0,17,38,0,55,0,0,4,0,4,18,0,18,118,122
01/11/2017,4,11,40,0,55,0,0,0,0,0,0,3,31,0,34,0,6,0,0,6,20,0,20,109,115
01/12/2017,4,6,36,0,46,0,0,0,0,0,0,12,55,1,68,0,2,6,0,8,18,0,18,132,140
01/13/2017,7,7,49,1,64,0,0,0,0,0,0,17,97,5,119,0,8,6,0,14,34,0,34,217,231
01/14/2017,10,0,22,0,32,0,0,0,0,0,0,1,23,6,30,0,0,2,0,2,50,0,50,112,114
01/15/2017,5,2,24,0,31,0,0,0,0,0,0,9,55,0,64,0,2,6,0,8,76,0,76,171,179
01/16/2017,7,5,23,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
01/17/2017,4,4,39,0,47,0,0,0,0,0,0,3,37,0,40,0,0,0,0,0,46,0,46,133,133
01/18/2017,6,8,43,0,57,0,0,0,0,0,0,19,72,0,91,0,6,6,0,12,34,0,34,182,194
01/19/2017,4,11,43,0,58,0,0,0,0,0,0,8,96,4,108,0,4,4,0,8,142,0,142,308,316
01/20/2017,6,7,33,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46
01/21/2017,6,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
01/22/2017,4,1,16,0,21,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,24,0,24,47,47
