OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LAW,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,3,2,0,5,0,0,0,0,0,0,0,17,0,17,0,0,4,0,4,20,0,20,42,46
01/02/2017,0,4,19,2,25,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,14,0,14,60,60
01/03/2017,0,6,4,65,75,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,81,81
01/04/2017,0,6,11,52,69,0,0,10,4,14,0,0,10,0,10,0,0,2,0,2,20,0,20,99,115
01/05/2017,0,5,4,80,89,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,93,93
01/06/2017,0,3,0,0,3,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,9,9
01/07/2017,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,10,10
01/08/2017,0,6,17,0,23,0,0,0,0,0,0,0,13,0,13,0,0,2,0,2,16,0,16,52,54
01/09/2017,0,4,4,89,97,0,0,0,0,0,0,0,14,4,18,0,0,2,0,2,0,0,0,115,117
01/10/2017,0,4,1,15,20,0,0,0,0,0,0,0,28,0,28,0,0,8,0,8,12,0,12,60,68
01/11/2017,0,4,15,40,59,0,0,0,8,8,0,0,6,0,6,0,0,4,0,4,0,0,0,65,77
01/12/2017,0,4,17,90,111,0,0,8,0,8,0,0,4,0,4,0,0,6,0,6,0,18,18,133,147
01/13/2017,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/14/2017,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/15/2017,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/16/2017,0,4,39,4,47,0,0,0,0,0,0,0,22,0,22,0,0,4,0,4,4,0,4,73,77
01/17/2017,0,4,22,60,86,0,0,0,0,0,0,0,25,0,25,0,0,4,0,4,0,0,0,111,115
01/18/2017,0,4,15,110,129,0,0,0,0,0,0,0,9,0,9,0,0,30,2,32,0,0,0,138,170
01/19/2017,0,4,16,38,58,0,0,0,0,0,0,0,13,0,13,0,0,10,0,10,0,0,0,71,81
01/20/2017,0,4,10,24,38,0,0,0,0,0,0,0,18,6,24,0,0,0,0,0,20,0,20,82,82
01/21/2017,4,0,17,10,31,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,2,0,2,63,63
