OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LBB,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,26,20,28,0,74,1,0,0,0,1,0,9,15,4,28,0,1,1,0,2,0,0,0,102,105
01/02/2017,30,20,18,0,68,0,0,0,0,0,0,11,23,2,36,6,8,4,0,18,41,0,41,145,163
01/03/2017,38,33,38,4,113,0,0,1,0,1,0,14,24,2,40,0,3,10,0,13,34,0,34,187,201
01/04/2017,44,32,34,2,112,0,0,0,0,0,0,7,22,0,29,0,14,6,0,20,24,0,24,165,185
01/05/2017,43,34,25,12,114,0,0,1,1,2,0,12,11,3,26,0,2,9,0,11,30,0,30,170,183
01/06/2017,35,39,27,14,115,0,0,0,0,0,0,4,8,0,12,0,4,3,0,7,6,6,12,139,146
01/07/2017,32,16,24,8,80,0,0,0,0,0,0,10,27,4,41,0,1,2,0,3,54,0,54,175,178
01/08/2017,29,14,20,3,66,0,0,0,0,0,0,13,38,2,53,0,1,108,0,109,8,0,8,127,236
01/09/2017,31,28,31,24,114,0,0,0,0,0,0,16,26,2,44,0,5,8,0,13,76,12,88,246,259
01/10/2017,43,34,31,26,134,0,0,0,0,0,0,13,34,2,49,0,5,14,1,20,64,18,82,265,285
01/11/2017,41,32,21,1,95,0,0,0,0,0,0,11,34,1,46,0,1,2,0,3,0,0,0,141,144
01/12/2017,41,50,36,3,130,0,0,1,1,2,0,18,37,0,55,0,1,3,0,4,68,0,68,253,259
01/13/2017,44,51,40,0,135,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,137,138
01/14/2017,28,15,16,0,59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,60
01/15/2017,30,11,16,0,57,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,57,59
01/16/2017,29,27,43,0,99,0,0,5,0,5,0,5,45,4,54,2,1,9,0,12,64,0,64,217,234
01/17/2017,41,54,42,45,182,0,2,1,2,5,0,16,35,2,53,0,6,14,1,21,50,24,74,309,335
01/18/2017,40,49,38,27,154,0,0,0,0,0,0,15,37,0,52,0,9,16,2,27,34,20,54,260,287
01/19/2017,46,39,41,34,160,0,0,0,0,0,0,14,15,1,30,0,5,3,0,8,20,62,82,272,280
01/20/2017,41,37,26,23,127,1,0,0,0,1,0,13,20,0,33,0,2,0,0,2,0,0,0,160,163
01/21/2017,34,31,17,8,90,0,0,0,0,0,0,10,15,6,31,0,1,1,0,2,0,0,0,121,123
