OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LEE,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,8,0,8,0,0,0,0,0,0,0,46,0,46,0,0,3,0,3,72,0,72,126,129
01/02/2017,0,2,12,0,14,0,0,0,0,0,0,0,101,0,101,0,0,6,0,6,88,0,88,203,209
01/03/2017,0,1,17,0,18,0,0,0,0,0,0,0,37,0,37,0,0,1,0,1,26,0,26,81,82
01/04/2017,0,0,6,0,6,0,0,0,0,0,0,0,70,0,70,0,0,1,0,1,142,0,142,218,219
01/05/2017,0,1,16,0,17,0,0,0,0,0,0,4,106,0,110,0,2,4,0,6,82,0,82,209,215
01/06/2017,0,0,27,0,27,0,0,0,0,0,0,0,101,0,101,0,0,2,0,2,138,0,138,266,268
01/07/2017,0,0,19,0,19,0,0,0,0,0,0,0,5,0,5,0,0,2,0,2,0,0,0,24,26
01/08/2017,0,0,26,0,26,0,0,0,0,0,0,0,49,0,49,0,0,2,0,2,12,0,12,87,89
01/09/2017,0,0,32,0,32,0,0,0,0,0,0,6,103,0,109,0,3,6,0,9,158,0,158,299,308
01/10/2017,0,3,36,0,39,0,0,0,0,0,0,0,92,0,92,0,0,2,0,2,118,0,118,249,251
01/11/2017,0,1,30,0,31,0,0,0,0,0,0,6,91,0,97,0,4,1,0,5,68,0,68,196,201
01/12/2017,0,1,29,0,30,0,0,0,0,0,0,0,96,0,96,0,0,8,0,8,140,0,140,266,274
01/13/2017,0,0,23,0,23,0,0,0,0,0,0,0,72,0,72,0,0,4,0,4,88,0,88,183,187
01/14/2017,0,0,29,0,29,0,0,0,0,0,0,0,81,0,81,0,0,6,0,6,80,0,80,190,196
01/15/2017,0,2,30,0,32,0,0,0,0,0,0,0,46,0,46,0,0,0,0,0,84,0,84,162,162
01/16/2017,0,1,22,0,23,0,0,0,0,0,0,0,68,0,68,0,0,3,0,3,60,0,60,151,154
01/17/2017,0,6,16,0,22,0,0,0,0,0,0,0,69,0,69,0,0,2,0,2,72,0,72,163,165
01/18/2017,0,4,20,0,24,0,0,0,0,0,0,0,69,0,69,0,0,0,0,0,116,0,116,209,209
01/19/2017,0,0,24,0,24,0,0,0,0,0,0,0,75,0,75,0,0,14,0,14,98,0,98,197,211
01/20/2017,0,2,31,0,33,0,0,0,0,0,0,0,88,0,88,0,0,3,4,7,106,0,106,227,234
01/21/2017,0,0,24,0,24,0,0,0,0,0,0,0,80,0,80,0,0,1,0,1,24,0,24,128,129
