OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LGA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,583,93,12,1,689,1,0,1,0,2,0,0,12,0,12,0,2,77,0,79,0,0,0,701,782
01/02/2017,769,152,20,1,942,2,2,0,0,4,0,0,2,0,2,0,70,57,0,127,0,0,0,944,1075
01/03/2017,794,159,7,1,961,2,2,1,0,5,0,0,0,0,0,0,2,0,0,2,0,0,0,961,968
01/04/2017,765,150,7,0,922,0,0,1,0,1,0,0,3,0,3,0,65,134,0,199,0,0,0,925,1125
01/05/2017,767,155,16,0,938,0,0,0,0,0,0,2,2,0,4,0,61,122,0,183,0,0,0,942,1125
01/06/2017,743,148,5,2,898,0,0,0,0,0,0,0,5,1,6,0,37,112,0,149,0,0,0,904,1053
01/07/2017,206,17,0,0,223,2,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,223,228
01/08/2017,696,122,6,0,824,3,2,0,0,5,0,0,3,0,3,0,0,49,2,51,0,0,0,827,883
01/09/2017,944,184,22,0,1150,0,0,1,0,1,0,0,6,0,6,0,34,140,1,175,0,0,0,1156,1332
01/10/2017,878,164,15,1,1058,0,0,0,0,0,0,1,0,1,2,0,30,87,2,119,0,0,0,1060,1179
01/11/2017,924,181,3,3,1111,0,0,0,0,0,0,0,3,0,3,0,15,95,0,110,0,0,0,1114,1224
01/12/2017,950,197,6,7,1160,2,0,2,0,4,0,0,7,0,7,0,26,104,1,131,0,0,0,1167,1302
01/13/2017,953,184,15,2,1154,0,0,0,0,0,0,0,6,0,6,0,34,158,1,193,0,0,0,1160,1353
01/14/2017,428,56,1,1,486,1,0,0,0,1,0,0,4,0,4,0,14,40,0,54,0,0,0,490,545
01/15/2017,584,100,4,0,688,0,0,0,0,0,0,0,6,0,6,0,1,45,0,46,0,0,0,694,740
01/16/2017,909,184,9,0,1102,0,0,0,0,0,0,2,6,0,8,0,31,146,0,177,0,0,0,1110,1287
01/17/2017,928,179,22,2,1131,3,2,0,0,5,0,0,2,0,2,0,8,27,0,35,0,0,0,1133,1173
01/18/2017,932,179,10,2,1123,1,0,0,0,1,0,2,4,0,6,0,7,23,0,30,0,0,0,1129,1160
01/19/2017,891,157,1,0,1049,2,1,0,0,3,0,1,5,0,6,0,34,156,3,193,0,0,0,1055,1251
01/20/2017,945,179,8,0,1132,0,0,1,0,1,0,0,1,0,1,0,16,84,0,100,0,0,0,1133,1234
