OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LIT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,43,25,18,0,86,2,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,86,91
01/02/2017,48,30,26,3,107,2,5,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,107,116
01/03/2017,50,41,58,15,164,1,2,6,1,10,0,1,3,0,4,0,5,1,0,6,0,0,0,168,184
01/04/2017,52,31,68,27,178,0,0,2,1,3,0,4,45,2,51,0,7,4,4,15,14,54,68,297,315
01/05/2017,54,47,80,68,249,1,0,1,1,3,0,0,23,5,28,0,15,7,0,22,30,26,56,333,358
01/06/2017,44,48,47,25,164,2,0,0,2,4,0,3,2,0,5,0,3,2,0,5,0,0,0,169,178
01/07/2017,38,23,27,38,126,1,0,1,1,3,0,2,41,2,45,0,18,9,0,27,0,10,10,181,211
01/08/2017,46,34,46,13,139,0,1,1,0,2,0,1,33,2,36,0,10,5,2,17,0,0,0,175,194
01/09/2017,55,30,84,11,180,0,1,2,0,3,0,3,31,3,37,0,8,3,1,12,26,40,66,283,298
01/10/2017,53,34,78,48,213,1,0,1,1,3,0,2,9,3,14,0,14,3,2,19,0,12,12,239,261
01/11/2017,59,33,65,12,169,0,1,0,1,2,0,2,9,0,11,0,7,3,0,10,8,40,48,228,240
01/12/2017,56,35,79,19,189,0,1,2,1,4,0,0,10,2,12,0,10,2,2,14,80,80,160,361,379
01/13/2017,56,31,55,7,149,4,0,2,1,7,0,0,0,0,0,0,3,0,0,3,0,0,0,149,159
01/14/2017,38,20,21,0,79,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,79,82
01/15/2017,33,17,24,0,74,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78
01/16/2017,55,41,57,0,153,2,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,153,162
01/17/2017,58,33,96,36,223,0,0,1,0,1,0,1,30,3,34,0,15,9,1,25,26,48,74,331,357
01/18/2017,58,38,65,13,174,0,1,1,1,3,0,0,1,3,4,0,0,1,0,1,0,14,14,192,196
01/19/2017,59,39,49,10,157,5,2,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,157,166
01/20/2017,59,42,76,44,221,1,0,0,3,4,0,1,36,15,52,0,12,6,2,20,18,96,114,387,411
01/21/2017,41,23,49,29,142,0,1,1,1,3,0,2,47,3,52,0,13,11,0,24,30,28,58,252,279
