OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LUK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,22,26,0,48,0,0,0,0,0,0,0,18,0,18,0,0,4,0,4,6,0,6,72,76
01/02/2017,0,27,50,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77
01/03/2017,0,55,47,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102
01/04/2017,0,37,36,2,75,0,0,0,0,0,0,4,38,0,42,0,1,0,0,1,4,0,4,121,122
01/05/2017,0,24,26,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
01/06/2017,0,33,39,0,72,0,0,0,0,0,0,0,34,0,34,0,0,4,0,4,18,0,18,124,128
01/07/2017,0,12,32,0,44,0,0,0,0,0,0,5,31,0,36,0,5,6,0,11,30,0,30,110,121
01/08/2017,0,16,41,0,57,0,0,0,0,0,0,7,48,0,55,0,4,0,0,4,12,0,12,124,128
01/09/2017,0,37,40,0,77,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,26,0,26,137,137
01/10/2017,0,36,39,0,75,0,0,0,0,0,0,0,8,0,8,0,8,0,0,8,0,0,0,83,91
01/11/2017,0,29,38,0,67,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,16,0,16,86,86
01/12/2017,0,35,35,4,74,0,0,0,0,0,0,0,13,0,13,0,6,0,0,6,0,0,0,87,93
01/13/2017,0,46,34,0,80,0,0,0,0,0,0,3,33,0,36,0,3,1,0,4,66,0,66,182,186
01/14/2017,0,12,22,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
01/15/2017,0,17,18,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
01/16/2017,0,31,48,0,79,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,36,0,36,120,120
01/17/2017,0,38,56,0,94,0,0,0,0,0,0,0,25,0,25,0,7,7,0,14,24,0,24,143,157
01/18/2017,0,42,75,1,118,0,0,0,0,0,0,1,20,0,21,0,0,9,0,9,100,0,100,239,248
01/19/2017,0,34,64,0,98,0,0,0,0,0,0,3,91,2,96,0,8,2,0,10,60,0,60,254,264
01/20/2017,0,28,58,0,86,0,0,0,0,0,0,15,27,0,42,0,3,36,0,39,10,0,10,138,177
01/21/2017,0,14,50,6,70,0,0,0,0,0,0,5,81,0,86,0,8,11,0,19,94,8,102,258,277
