OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LWM,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,1,5,0,6,0,0,0,0,0,0,0,36,0,36,0,0,1,0,1,48,0,48,90,91
01/02/2017,0,0,11,0,11,0,2,1,0,3,0,0,65,0,65,0,0,6,0,6,102,0,102,178,187
01/03/2017,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
01/04/2017,0,1,6,0,7,0,0,6,0,6,0,0,35,0,35,0,0,2,0,2,40,0,40,82,90
01/05/2017,0,2,9,0,11,0,1,0,0,1,0,1,50,0,51,0,0,0,0,0,14,0,14,76,77
01/06/2017,0,0,5,0,5,0,0,0,0,0,0,0,19,0,19,0,0,11,0,11,10,0,10,34,45
01/07/2017,0,0,3,0,3,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,18,0,18,34,34
01/08/2017,0,2,11,0,13,0,0,0,0,0,0,1,45,0,46,0,0,2,0,2,124,0,124,183,185
01/09/2017,0,0,8,0,8,0,0,0,0,0,0,0,33,0,33,0,0,25,0,25,34,0,34,75,100
01/10/2017,0,2,9,0,11,0,0,0,0,0,0,0,18,0,18,0,0,12,0,12,22,0,22,51,63
01/11/2017,0,0,0,0,0,0,0,2,0,2,0,0,29,0,29,0,0,10,1,11,20,0,20,49,62
01/12/2017,0,0,4,0,4,0,2,3,0,5,0,0,16,0,16,0,0,9,0,9,48,0,48,68,82
01/13/2017,0,0,4,0,4,0,0,0,0,0,0,0,28,0,28,0,0,17,0,17,0,0,0,32,49
01/14/2017,0,7,7,0,14,0,0,0,0,0,0,0,86,0,86,0,0,9,0,9,84,0,84,184,193
01/15/2017,0,1,16,0,17,0,0,6,0,6,0,0,97,0,97,0,0,3,0,3,74,0,74,188,197
01/16/2017,0,1,13,0,14,0,0,0,0,0,0,0,71,0,71,0,0,4,0,4,86,0,86,171,175
01/17/2017,0,0,12,0,12,0,0,0,0,0,0,0,53,0,53,0,0,7,0,7,26,0,26,91,98
01/18/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/19/2017,0,5,12,0,17,0,0,1,0,1,0,0,37,0,37,0,0,3,0,3,30,0,30,84,88
01/20/2017,0,6,11,0,17,0,0,6,0,6,0,0,63,0,63,0,0,7,0,7,52,0,52,132,145
01/21/2017,0,4,11,0,15,0,0,1,0,1,0,0,94,0,94,0,0,2,0,2,90,0,90,199,202
