OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=LWS,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,3,3,2,0,8,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,10,11
01/02/2017,6,4,4,0,14,0,0,0,0,0,0,4,10,0,14,0,2,0,0,2,0,0,0,28,30
01/03/2017,4,4,3,0,11,0,0,0,0,0,0,6,11,0,17,0,2,2,0,4,4,0,4,32,36
01/04/2017,4,5,7,0,16,0,0,0,0,0,0,7,35,2,44,0,2,1,1,4,6,2,8,68,72
01/05/2017,5,14,2,0,21,0,0,0,0,0,0,5,19,0,24,0,1,1,0,2,2,0,2,47,49
01/06/2017,4,6,4,0,14,0,0,0,0,0,0,3,24,0,27,0,0,2,0,2,6,0,6,47,49
01/07/2017,4,2,2,0,8,0,0,0,0,0,0,3,12,0,15,0,0,0,0,0,0,0,0,23,23
01/08/2017,5,2,3,0,10,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,14,14
01/09/2017,6,8,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/10/2017,3,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/11/2017,6,7,4,0,17,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,14,0,14,35,35
01/12/2017,5,6,16,0,27,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,35,35
01/13/2017,5,13,3,0,21,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,23,23
01/14/2017,4,7,8,0,19,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,22,22
01/15/2017,3,4,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/16/2017,5,5,8,0,18,0,0,0,0,0,0,3,11,0,14,0,0,0,0,0,2,0,2,34,34
01/17/2017,3,4,2,0,9,0,0,0,0,0,0,5,2,0,7,0,0,0,0,0,0,0,0,16,16
01/18/2017,3,5,1,0,9,0,0,0,0,0,0,5,3,0,8,0,0,0,0,0,2,0,2,19,19
01/19/2017,6,4,6,0,16,0,0,0,0,0,0,1,7,0,8,0,0,0,0,0,6,0,6,30,30
01/20/2017,5,9,1,0,15,0,0,0,0,0,0,1,14,2,17,0,0,0,0,0,28,0,28,60,60
01/21/2017,4,4,5,0,13,0,0,0,0,0,0,2,14,0,16,0,0,2,0,2,14,0,14,43,45
