OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MCI,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,271,11,0,0,282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,282,283
01/02/2017,314,13,6,0,333,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,333,335
01/03/2017,326,13,1,0,340,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340,341
01/04/2017,312,12,13,0,337,0,0,0,0,0,0,0,2,0,2,0,1,1,0,2,0,0,0,339,341
01/05/2017,319,12,6,0,337,0,0,0,0,0,0,0,2,0,2,0,0,1,1,2,0,0,0,339,341
01/06/2017,322,11,10,0,343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,343,344
01/07/2017,213,16,3,2,234,0,0,0,0,0,0,0,7,0,7,0,0,1,0,1,0,0,0,241,242
01/08/2017,265,16,2,0,283,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,283,286
01/09/2017,330,13,14,0,357,0,1,0,0,1,4,2,4,0,10,0,0,2,0,2,0,0,0,367,370
01/10/2017,306,16,10,2,334,0,0,0,0,0,0,0,4,0,4,0,1,1,1,3,0,0,0,338,341
01/11/2017,309,14,10,1,334,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,334,337
01/12/2017,324,17,6,1,348,0,0,0,0,0,0,2,2,0,4,0,1,0,0,1,0,0,0,352,353
01/13/2017,296,9,9,0,314,1,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,314,317
01/14/2017,190,11,7,0,208,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,208,209
01/15/2017,167,8,1,0,176,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,176,178
01/16/2017,307,17,11,0,335,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,335,339
01/17/2017,304,6,10,2,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,322
01/18/2017,311,8,24,8,351,0,0,0,0,0,0,2,1,9,12,0,0,0,0,0,0,0,0,363,363
01/19/2017,318,12,7,4,341,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,341,342
01/20/2017,326,7,5,0,338,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,338,339
01/21/2017,216,17,4,0,237,0,0,0,0,0,0,0,5,0,5,0,0,6,0,6,0,0,0,242,248
