OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MCN,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,1,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
01/02/2017,0,2,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
01/03/2017,0,0,20,0,20,0,0,0,4,4,0,0,5,0,5,0,0,0,0,0,16,0,16,41,45
01/04/2017,0,0,18,6,24,0,0,2,8,10,0,0,9,0,9,0,0,0,0,0,6,0,6,39,49
01/05/2017,0,0,13,10,23,0,0,0,20,20,0,0,24,0,24,0,0,0,0,0,20,0,20,67,87
01/06/2017,1,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/07/2017,0,4,6,0,10,0,0,0,2,2,0,0,2,0,2,0,4,4,0,8,0,0,0,12,22
01/08/2017,0,2,11,2,15,0,0,0,0,0,0,0,7,0,7,0,2,0,0,2,0,0,0,22,24
01/09/2017,3,0,13,0,16,0,0,0,14,14,0,0,5,0,5,0,0,0,0,0,2,0,2,23,37
01/11/2017,0,3,34,0,37,0,0,0,46,46,0,2,9,0,11,0,2,4,2,8,4,0,4,52,106
01/12/2017,0,0,24,0,24,0,0,0,42,42,0,0,14,0,14,0,0,2,6,8,12,0,12,50,100
01/13/2017,1,0,24,2,27,0,0,8,18,26,0,0,26,0,26,0,0,0,0,0,0,0,0,53,79
01/14/2017,0,1,14,2,17,0,0,0,0,0,0,2,22,0,24,0,4,4,0,8,14,0,14,55,63
01/15/2017,1,0,20,1,22,0,0,0,0,0,0,0,12,1,13,0,0,0,0,0,0,0,0,35,35
01/16/2017,1,1,23,0,25,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,14,0,14,58,58
01/17/2017,0,6,15,2,23,0,0,0,36,36,0,0,5,0,5,0,0,6,0,6,0,0,0,28,70
01/18/2017,0,4,30,0,34,0,0,0,12,12,0,0,3,0,3,0,0,0,0,0,4,0,4,41,53
01/19/2017,3,5,15,0,23,0,0,0,38,38,0,0,13,0,13,0,0,2,0,2,0,0,0,36,76
01/20/2017,1,3,15,0,19,0,0,0,8,8,0,0,4,0,4,0,0,0,0,0,12,0,12,35,43
01/21/2017,0,3,3,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,7
01/22/2017,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
