OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MDH,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3
01/02/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2017,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01/04/2017,0,0,0,0,0,0,0,0,0,0,0,16,10,0,26,0,0,0,0,0,28,0,28,54,54
01/05/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2017,0,0,2,0,2,0,0,0,0,0,0,2,8,0,10,0,0,0,0,0,6,0,6,18,18
01/07/2017,0,0,2,0,2,0,0,0,0,0,0,3,13,1,17,0,0,0,0,0,10,0,10,29,29
01/08/2017,0,2,2,0,4,0,0,0,0,0,0,5,14,0,19,0,0,0,0,0,4,0,4,27,27
01/09/2017,0,0,2,0,2,0,0,2,2,4,0,6,2,0,8,0,0,2,0,2,0,0,0,10,16
01/10/2017,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,4
01/11/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,4
01/12/2017,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/13/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/14/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/15/2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/16/2017,0,2,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,0,10,14,14
01/17/2017,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,0,0,0,0,0,20,0,20,30,30
01/18/2017,0,0,1,0,1,0,0,0,0,0,0,27,6,0,33,0,0,0,2,2,100,0,100,134,136
01/19/2017,0,0,4,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,6
01/20/2017,0,11,3,0,14,0,0,0,0,0,0,19,7,0,26,0,0,0,0,0,26,0,26,66,66
01/21/2017,0,1,0,0,1,0,0,0,0,0,0,29,10,0,39,0,4,2,0,6,70,0,70,110,116
