OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MFR,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,14,8,3,0,25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26,26
01/02/2017,18,17,9,0,44,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,46,46
01/03/2017,17,12,6,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
01/04/2017,12,17,5,0,34,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,0,36,38
01/05/2017,25,18,9,0,52,0,0,0,0,0,0,1,8,0,9,0,0,0,0,0,0,0,0,61,61
01/06/2017,15,22,12,0,49,0,0,0,0,0,0,4,22,0,26,0,0,0,1,1,14,0,14,89,90
01/07/2017,10,8,3,0,21,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,25,25
01/08/2017,14,6,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
01/09/2017,15,20,15,0,50,0,0,0,0,0,0,0,4,0,4,0,0,1,0,1,8,0,8,62,63
01/10/2017,15,18,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38
01/11/2017,12,15,12,0,39,0,0,0,0,0,0,0,20,0,20,0,0,1,0,1,12,0,12,71,72
01/12/2017,20,24,13,0,57,0,0,0,0,0,0,4,29,0,33,0,0,2,0,2,22,0,22,112,114
01/13/2017,16,24,12,1,53,0,0,0,0,0,0,3,22,1,26,0,0,1,0,1,24,0,24,103,104
01/14/2017,14,12,13,0,39,0,0,0,0,0,0,1,17,0,18,0,0,2,0,2,6,0,6,63,65
01/15/2017,20,8,5,0,33,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,2,0,2,45,45
01/16/2017,17,18,8,0,43,0,0,1,0,1,0,0,24,0,24,0,0,0,0,0,8,0,8,75,76
01/17/2017,17,14,6,0,37,0,0,0,0,0,0,1,6,0,7,0,0,1,0,1,2,0,2,46,47
01/18/2017,18,22,14,0,54,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,55,55
01/19/2017,18,21,17,4,60,0,0,0,0,0,0,0,8,0,8,0,0,0,1,1,14,0,14,82,83
01/20/2017,17,17,8,0,42,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,51,51
01/21/2017,13,11,5,0,29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,30,30
