OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MHK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,12,0,0,12,0,0,2,0,2,0,0,14,0,14,0,0,0,0,0,0,0,0,26,28
01/02/2017,0,7,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/03/2017,0,14,3,2,19,0,0,0,0,0,0,0,11,2,13,0,2,4,10,16,6,0,6,38,54
01/04/2017,0,7,8,2,17,0,0,0,0,0,0,0,7,2,9,0,0,0,2,2,20,6,26,52,54
01/05/2017,0,7,5,0,12,0,0,0,0,0,0,0,6,4,10,0,0,0,14,14,2,16,18,40,54
01/06/2017,0,8,11,3,22,0,0,0,0,0,0,0,11,2,13,0,0,0,2,2,16,2,18,53,55
01/07/2017,0,11,10,0,21,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,36,0,36,73,73
01/08/2017,0,7,1,0,8,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,32,0,32,50,50
01/09/2017,0,11,12,2,25,0,0,0,0,0,0,0,14,0,14,0,0,0,2,2,10,0,10,49,51
01/10/2017,0,5,6,1,12,0,0,0,4,4,0,0,9,0,9,0,0,2,4,6,12,0,12,33,43
01/11/2017,0,6,10,0,16,0,0,0,2,2,0,4,13,2,19,0,0,2,8,10,26,12,38,73,85
01/12/2017,0,9,4,9,22,0,0,0,0,0,0,0,14,4,18,0,0,0,0,0,12,6,18,58,58
01/13/2017,6,9,7,2,24,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,27,27
01/14/2017,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/15/2017,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01/16/2017,0,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/17/2017,0,7,20,0,27,0,0,0,0,0,0,1,13,0,14,0,0,0,0,0,0,0,0,41,41
01/18/2017,0,7,13,2,22,0,0,0,0,0,0,0,13,0,13,0,0,2,0,2,2,0,2,37,39
01/19/2017,0,7,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
01/20/2017,1,10,2,1,14,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,0,8,24,24
01/21/2017,3,4,5,4,16,0,0,0,0,0,0,0,32,2,34,0,0,12,0,12,42,0,42,92,104
