OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MHR,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,1,7,0,8,0,0,0,0,0,0,6,9,0,15,0,0,0,0,0,6,0,6,29,29
01/02/2017,0,2,13,0,15,0,0,0,0,0,0,3,42,0,45,0,0,8,1,9,14,0,14,74,83
01/03/2017,6,10,24,4,44,0,0,1,0,1,6,11,30,5,52,0,0,5,0,5,0,6,6,102,108
01/04/2017,16,25,61,4,106,0,1,3,0,4,16,27,65,6,114,0,1,8,0,9,2,0,2,222,235
01/05/2017,10,8,28,11,57,0,1,3,0,4,10,27,66,17,120,0,5,10,1,16,34,16,50,227,247
01/06/2017,10,8,28,18,64,0,2,2,1,5,10,28,85,29,152,0,12,7,2,21,49,14,63,279,305
01/07/2017,1,4,6,1,12,0,0,0,0,0,1,4,6,4,15,0,0,4,0,4,0,26,26,53,57
01/08/2017,0,1,8,0,9,0,0,0,0,0,0,1,9,3,13,0,0,2,0,2,0,6,6,28,30
01/09/2017,6,18,24,14,62,0,2,2,0,4,6,29,86,14,135,0,5,23,3,31,12,2,14,211,246
01/10/2017,13,18,5,2,38,0,0,0,0,0,13,18,5,2,38,0,0,0,1,1,0,0,0,76,77
01/11/2017,14,18,33,20,85,0,1,0,0,1,14,36,78,38,166,1,4,17,4,26,104,108,212,463,490
01/12/2017,13,20,19,17,69,0,0,3,1,4,14,32,30,28,104,0,0,6,1,7,0,30,30,203,214
01/13/2017,8,5,37,10,60,0,3,1,2,6,8,26,90,13,137,0,6,12,1,19,36,34,70,267,292
01/14/2017,1,13,9,0,23,0,0,0,1,1,1,16,9,0,26,0,0,1,1,2,0,0,0,49,52
01/15/2017,0,4,24,0,28,0,0,0,0,0,0,7,36,0,43,0,0,4,0,4,0,0,0,71,75
01/16/2017,6,4,24,0,34,0,0,0,0,0,6,22,86,0,114,0,0,8,1,9,106,0,106,254,263
01/17/2017,13,31,27,19,90,0,0,0,1,1,13,41,73,24,151,1,0,12,0,13,106,12,118,359,373
01/18/2017,16,13,18,5,52,0,2,2,3,7,16,21,31,6,74,0,2,2,3,7,8,6,14,140,154
01/19/2017,14,21,21,1,57,0,5,4,2,11,14,34,58,13,119,0,9,13,2,24,6,24,30,206,241
01/20/2017,9,18,12,3,42,0,1,4,1,6,9,25,14,3,51,0,2,4,1,7,0,0,0,93,106
01/21/2017,1,8,10,4,23,0,1,0,0,1,1,8,11,4,24,0,3,5,0,8,0,0,0,47,56
