OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MHT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,39,16,6,0,61,0,0,1,0,1,0,2,2,0,4,0,0,2,0,2,0,0,0,65,68
01/02/2017,38,36,12,0,86,0,0,0,0,0,0,2,14,0,16,0,0,19,0,19,4,0,4,106,125
01/03/2017,47,46,11,0,104,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,104,108
01/04/2017,56,59,13,15,143,1,0,2,0,3,0,2,8,1,11,0,0,1,0,1,2,4,6,160,164
01/05/2017,45,55,11,0,111,0,0,0,0,0,0,5,12,0,17,0,0,8,0,8,0,0,0,128,136
01/06/2017,41,47,3,0,91,0,0,3,0,3,0,0,8,2,10,0,0,14,2,16,0,0,0,101,120
01/07/2017,38,22,10,0,70,0,0,0,0,0,0,0,5,0,5,0,0,2,0,2,10,0,10,85,87
01/08/2017,46,22,9,0,77,0,0,1,0,1,0,4,7,0,11,0,0,10,1,11,0,0,0,88,100
01/09/2017,51,40,15,0,106,0,0,2,0,2,0,5,16,0,21,0,1,3,0,4,6,0,6,133,139
01/10/2017,54,53,13,0,120,0,0,2,0,2,0,1,7,0,8,0,2,4,0,6,0,0,0,128,136
01/11/2017,52,48,10,0,110,0,0,0,0,0,0,5,6,0,11,0,0,8,0,8,6,0,6,127,135
01/12/2017,54,55,6,0,115,1,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,117,119
01/13/2017,55,41,10,2,108,0,0,1,0,1,0,6,13,0,19,0,0,5,0,5,0,0,0,127,133
01/14/2017,47,19,11,0,77,0,0,0,0,0,0,8,13,0,21,0,0,20,0,20,6,0,6,104,124
01/15/2017,42,19,14,0,75,0,0,2,0,2,0,6,13,1,20,0,0,14,0,14,11,0,11,106,122
01/16/2017,52,34,16,0,102,0,1,1,0,2,0,10,15,0,25,0,2,12,0,14,12,0,12,139,155
01/17/2017,48,42,26,0,116,0,1,1,0,2,0,1,8,0,9,0,0,15,0,15,8,0,8,133,150
01/18/2017,53,55,6,4,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118
01/19/2017,56,49,9,10,124,1,2,3,0,6,0,2,0,0,2,0,0,5,0,5,0,0,0,126,137
01/20/2017,54,39,16,0,109,0,1,2,0,3,0,6,10,0,16,0,0,7,0,7,0,0,0,125,135
01/21/2017,51,18,13,2,84,0,0,1,0,1,0,3,16,0,19,0,0,7,1,8,0,0,0,103,112
