OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MIA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,1023,85,38,0,1146,3,1,0,0,4,3,5,5,0,13,0,0,5,0,5,0,0,0,1159,1168
01/02/2017,1035,112,72,1,1220,3,1,1,0,5,10,1,16,0,27,0,0,18,2,20,0,0,0,1247,1272
01/03/2017,1067,104,63,7,1241,4,0,1,0,5,3,0,6,0,9,0,0,16,0,16,0,0,0,1250,1271
01/04/2017,1111,94,38,3,1246,5,5,0,1,11,2,1,4,0,7,0,0,22,3,25,0,0,0,1253,1289
01/05/2017,1110,91,46,4,1251,0,1,3,1,5,2,0,18,0,20,0,0,41,0,41,0,0,0,1271,1317
01/06/2017,1129,94,52,0,1275,6,0,1,0,7,3,0,15,2,20,0,1,20,4,25,0,0,0,1295,1327
01/07/2017,1073,81,50,2,1206,4,2,1,0,7,3,3,4,0,10,0,1,9,0,10,0,0,0,1216,1233
01/08/2017,1074,91,50,6,1221,3,0,1,0,4,3,0,6,0,9,0,0,16,0,16,0,0,0,1230,1250
01/09/2017,984,99,44,3,1130,6,3,0,0,9,6,1,15,0,22,0,0,29,0,29,0,0,0,1152,1190
01/10/2017,974,120,39,1,1134,3,0,1,0,4,1,0,19,0,20,0,0,25,1,26,0,0,0,1154,1184
01/11/2017,977,115,57,4,1153,0,1,1,0,2,7,0,10,0,17,0,0,27,6,33,0,0,0,1170,1205
01/12/2017,1026,113,39,2,1180,3,0,0,0,3,4,2,14,1,21,1,4,35,2,42,0,0,0,1201,1246
01/13/2017,1029,138,61,7,1235,2,1,2,0,5,3,0,10,0,13,0,0,34,2,36,0,0,0,1248,1289
01/14/2017,1011,72,27,6,1116,1,1,1,0,3,3,0,6,0,9,0,0,20,5,25,0,0,0,1125,1153
01/15/2017,992,87,29,3,1111,1,1,0,0,2,3,0,6,0,9,0,0,23,0,23,0,0,0,1120,1145
01/16/2017,962,138,51,2,1153,3,0,3,0,6,1,0,7,0,8,0,3,39,0,42,0,0,0,1161,1209
01/17/2017,960,120,45,8,1133,3,1,4,0,8,2,0,2,1,5,1,0,36,2,39,0,0,0,1138,1185
01/18/2017,987,108,59,7,1161,3,0,3,0,6,0,1,17,2,20,0,0,33,4,37,0,0,0,1181,1224
01/19/2017,1009,100,66,3,1178,4,2,1,0,7,3,2,15,0,20,0,0,28,2,30,0,0,0,1198,1235
01/20/2017,1018,124,37,3,1182,3,5,1,0,9,2,0,17,0,19,0,0,30,2,32,0,0,0,1201,1242
