OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MKE,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,132,68,7,0,207,0,0,1,0,1,0,2,13,0,15,0,0,3,0,3,0,0,0,222,226
01/02/2017,145,92,16,0,253,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,255,256
01/03/2017,166,113,19,0,298,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,298,302
01/04/2017,171,112,15,5,303,0,0,0,0,0,0,0,2,0,2,0,0,3,0,3,0,0,0,305,308
01/05/2017,165,100,16,4,285,0,1,1,0,2,0,0,2,0,2,0,2,0,0,2,0,0,0,287,291
01/06/2017,163,99,14,10,286,0,0,0,0,0,0,11,2,1,14,0,1,2,0,3,0,0,0,300,303
01/07/2017,123,66,14,4,207,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,208,209
01/08/2017,156,55,9,2,222,0,0,1,0,1,0,0,11,0,11,0,0,5,0,5,2,0,2,235,241
01/09/2017,172,96,33,0,301,0,2,1,0,3,0,3,1,0,4,0,0,3,0,3,0,0,0,305,311
01/10/2017,171,95,33,1,300,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,301,301
01/11/2017,176,107,39,6,328,1,2,1,0,4,0,4,0,0,4,0,1,1,0,2,0,0,0,332,338
01/12/2017,177,120,22,2,321,0,0,1,0,1,0,3,3,1,7,0,0,1,0,1,0,0,0,328,330
01/13/2017,182,103,28,0,313,0,1,1,0,2,0,0,2,2,4,0,0,2,0,2,0,0,0,317,321
01/14/2017,125,57,9,0,191,0,1,3,0,4,0,0,12,0,12,0,0,2,0,2,0,0,0,203,209
01/15/2017,135,63,13,0,211,0,0,2,0,2,0,0,10,0,10,0,0,4,0,4,0,0,0,221,227
01/16/2017,179,84,20,2,285,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,285,289
01/17/2017,164,106,17,4,291,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,291,292
01/18/2017,177,114,32,4,327,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,327,329
01/19/2017,181,96,22,6,305,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,305,307
01/20/2017,183,76,22,5,286,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,286,289
01/21/2017,130,56,11,1,198,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198,199
