OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MKG,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,4,8,0,12,0,1,0,0,1,0,0,44,0,44,0,0,11,0,11,65,0,65,121,133
01/02/2017,0,4,5,0,9,0,0,0,0,0,0,0,17,0,17,0,0,6,0,6,54,0,54,80,86
01/03/2017,0,2,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
01/04/2017,0,5,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
01/05/2017,0,4,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
01/06/2017,0,6,11,0,17,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20
01/07/2017,0,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/08/2017,0,4,15,0,19,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0,7,26,28
01/09/2017,0,4,5,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,13,13
01/10/2017,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
01/11/2017,0,2,13,0,15,0,0,0,0,0,0,0,7,0,7,0,0,7,0,7,14,0,14,36,43
01/12/2017,0,4,16,0,20,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,20,0,20,40,43
01/13/2017,0,6,19,0,25,0,0,0,0,0,0,0,30,0,30,0,0,6,0,6,26,0,26,81,87
01/14/2017,0,2,9,0,11,0,0,0,0,0,0,1,23,0,24,0,0,3,0,3,44,0,44,79,82
01/15/2017,0,4,11,0,15,0,0,0,0,0,0,0,31,0,31,0,0,4,0,4,56,0,56,102,106
01/16/2017,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
01/17/2017,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/18/2017,0,6,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/19/2017,0,8,30,0,38,0,0,1,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,42,43
01/20/2017,2,6,6,0,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15
01/21/2017,0,2,19,0,21,0,0,1,0,1,0,0,10,0,10,0,0,3,0,3,32,0,32,63,67
