OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MLU,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,14,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
01/02/2017,0,15,6,0,21,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,21,23
01/03/2017,0,24,34,22,80,0,0,0,0,0,0,0,17,1,18,0,0,3,0,3,0,18,18,116,119
01/04/2017,0,24,33,24,81,0,0,0,0,0,0,0,13,1,14,0,3,2,0,5,14,8,22,117,122
01/05/2017,0,21,25,4,50,0,0,0,1,1,0,0,2,0,2,0,0,1,0,1,0,0,0,52,54
01/06/2017,0,15,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
01/07/2017,0,14,20,35,69,0,0,0,1,1,0,0,12,1,13,0,0,2,0,2,0,6,6,88,91
01/08/2017,0,18,13,0,31,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,18,0,18,60,60
01/09/2017,0,21,28,23,72,0,0,1,0,1,0,0,20,2,22,0,0,6,0,6,0,30,30,124,131
01/10/2017,0,18,17,32,67,0,0,0,0,0,0,0,3,2,5,0,0,5,0,5,12,12,24,96,101
01/11/2017,0,20,30,15,65,0,0,0,0,0,0,0,5,2,7,0,1,2,1,4,0,4,4,76,80
01/12/2017,0,23,45,14,82,0,0,0,0,0,0,0,15,1,16,0,0,5,0,5,54,0,54,152,157
01/13/2017,0,19,19,6,44,0,0,0,0,0,0,0,6,1,7,0,1,3,2,6,2,0,2,53,59
01/14/2017,2,13,8,0,23,0,0,0,0,0,0,0,9,0,9,0,0,0,4,4,0,0,0,32,36
01/15/2017,0,11,8,4,23,0,0,0,0,0,0,0,5,0,5,0,1,5,0,6,0,0,0,28,34
01/16/2017,0,20,24,0,44,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,45
01/17/2017,0,20,16,3,39,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,40,40
01/18/2017,2,20,20,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42
01/19/2017,0,20,17,0,37,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,37,39
01/20/2017,0,23,36,34,93,0,0,0,0,0,0,0,17,1,18,0,0,1,0,1,0,0,0,111,112
01/21/2017,0,12,11,15,38,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,44,44
