OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MTN,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,10,0,10,0,0,0,0,0,0,0,64,0,64,0,0,24,0,24,52,0,52,126,150
01/02/2017,0,7,17,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
01/03/2017,0,10,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
01/04/2017,0,5,17,0,22,0,0,0,0,0,0,0,73,2,75,0,2,10,6,18,122,2,124,221,239
01/05/2017,0,2,26,3,31,0,0,0,0,0,0,0,68,3,71,0,0,10,6,16,164,2,166,268,284
01/06/2017,0,0,18,0,18,0,0,0,0,0,0,6,89,0,95,0,2,8,10,20,98,0,98,211,231
01/07/2017,0,1,5,0,6,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,17,17
01/08/2017,0,3,13,0,16,0,0,0,0,0,0,0,21,0,21,0,0,4,2,6,12,0,12,49,55
01/09/2017,0,4,17,4,25,0,0,0,0,0,0,0,94,0,94,0,0,8,6,14,142,0,142,261,275
01/10/2017,0,3,15,1,19,0,0,0,0,0,0,0,98,1,99,0,0,4,16,20,212,4,216,334,354
01/11/2017,0,6,20,4,30,0,0,0,0,0,0,0,83,1,84,0,0,14,12,26,170,0,170,284,310
01/12/2017,0,7,18,2,27,0,0,0,0,0,0,0,110,1,111,0,2,12,12,26,90,10,100,238,264
01/13/2017,0,6,22,0,28,0,0,0,0,0,0,0,127,0,127,0,0,16,4,20,100,0,100,255,275
01/14/2017,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/15/2017,0,6,18,0,24,0,0,0,0,0,0,0,84,0,84,0,2,30,0,32,90,0,90,198,230
01/16/2017,0,5,19,0,24,0,0,0,0,0,0,3,114,0,117,0,4,26,0,30,248,0,248,389,419
01/17/2017,0,4,7,0,11,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,13,13
01/18/2017,0,0,25,4,29,0,0,0,0,0,0,0,83,1,84,0,6,10,12,28,96,4,100,213,241
01/19/2017,0,5,38,1,44,0,0,0,0,0,0,0,101,0,101,0,0,25,0,25,172,0,172,317,342
01/20/2017,0,2,15,0,17,0,0,0,0,0,0,3,4,0,7,0,0,2,0,2,24,0,24,48,50
01/21/2017,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
