OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=MVY,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,5,1,0,6,0,0,0,0,0,0,8,33,0,41,0,0,6,0,6,0,0,0,47,53
01/02/2017,0,1,3,0,4,0,0,0,0,0,0,9,45,0,54,0,0,0,0,0,4,0,4,62,62
01/03/2017,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
01/04/2017,0,17,8,2,27,0,0,0,0,0,0,0,9,4,13,0,0,0,0,0,0,4,4,44,44
01/05/2017,0,13,0,0,13,0,0,0,0,0,0,11,11,0,22,0,0,0,0,0,0,10,10,45,45
01/06/2017,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/07/2017,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
01/08/2017,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2
01/09/2017,0,1,4,2,7,0,0,0,0,0,0,8,11,0,19,0,0,4,0,4,0,0,0,26,30
01/10/2017,0,8,0,0,8,0,0,0,0,0,0,8,15,4,27,0,0,0,2,2,8,0,8,43,45
01/11/2017,0,6,2,0,8,0,0,0,0,0,0,6,4,0,10,0,0,0,0,0,0,0,0,18,18
01/12/2017,0,10,4,0,14,0,0,0,0,0,0,2,4,0,6,0,0,0,0,0,0,0,0,20,20
01/13/2017,0,1,2,0,3,0,0,0,0,0,0,9,18,2,29,0,0,0,0,0,0,0,0,32,32
01/14/2017,0,2,1,0,3,0,0,0,0,0,0,10,25,8,43,0,0,6,0,6,0,0,0,46,52
01/15/2017,0,0,0,0,0,0,0,0,0,0,0,13,70,0,83,0,0,0,0,0,8,0,8,91,91
01/16/2017,0,5,2,0,7,0,0,0,0,0,0,12,46,0,58,0,0,0,0,0,0,0,0,65,65
01/17/2017,0,4,3,0,7,0,0,0,0,0,0,8,11,0,19,0,0,0,0,0,0,0,0,26,26
01/18/2017,0,12,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
01/19/2017,0,17,0,0,17,0,0,0,0,0,0,0,12,0,12,0,0,2,0,2,0,0,0,29,31
01/20/2017,0,5,8,0,13,0,0,0,0,0,0,9,15,0,24,0,0,0,0,0,4,0,4,41,41
01/21/2017,0,9,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,19,19
