OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=OAK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,278,37,37,2,354,0,0,9,0,9,0,0,42,3,45,0,0,18,0,18,28,0,28,427,454
01/02/2017,340,89,74,2,505,0,1,9,0,10,0,5,17,2,24,0,1,23,0,24,98,26,124,653,687
01/03/2017,356,88,47,0,491,4,0,14,0,18,0,2,1,1,4,0,0,2,0,2,0,24,24,519,539
01/04/2017,377,92,60,0,529,0,1,12,0,13,0,1,8,0,9,0,0,10,0,10,42,0,42,580,603
01/05/2017,367,60,33,0,460,1,4,11,1,17,0,13,39,3,55,0,1,69,1,71,108,0,108,623,711
01/06/2017,362,64,46,0,472,1,0,9,0,10,0,5,82,4,91,0,5,78,2,85,140,0,140,703,798
01/07/2017,246,45,38,0,329,1,2,10,0,13,0,0,2,0,2,0,0,3,1,4,8,0,8,339,356
01/08/2017,282,70,112,0,464,2,1,12,0,15,0,0,0,1,1,0,0,6,0,6,0,0,0,465,486
01/09/2017,323,70,57,0,450,0,0,7,0,7,0,1,4,1,6,0,0,20,1,21,0,0,0,456,484
01/10/2017,359,70,89,0,518,4,1,10,0,15,0,0,1,0,1,0,0,7,0,7,0,0,0,519,541
01/11/2017,357,90,90,5,542,0,4,15,0,19,0,6,19,6,31,0,0,32,5,37,138,0,138,711,767
01/12/2017,367,95,84,2,548,0,0,11,0,11,0,2,17,7,26,0,2,35,1,38,90,0,90,664,713
01/13/2017,346,91,51,0,488,0,3,13,0,16,0,4,82,3,89,0,1,66,0,67,56,20,76,653,736
01/14/2017,240,27,34,0,301,0,0,9,0,9,0,2,82,4,88,0,1,55,0,56,58,0,58,447,512
01/15/2017,277,41,36,1,355,0,1,5,0,6,0,4,69,9,82,0,1,40,3,44,63,0,63,500,550
01/16/2017,330,94,71,0,495,0,0,8,0,8,0,10,91,9,110,0,7,79,0,86,92,16,108,713,807
01/17/2017,348,79,50,0,477,0,0,7,0,7,0,2,41,5,48,0,0,20,3,23,86,6,92,617,647
01/18/2017,364,73,79,1,517,5,1,13,0,19,0,5,6,0,11,0,0,14,0,14,28,0,28,556,589
01/19/2017,367,75,45,2,489,0,2,8,0,10,0,2,14,3,19,0,3,45,2,50,62,0,62,570,630
01/20/2017,338,58,40,0,436,0,7,9,0,16,0,5,18,10,33,0,0,54,0,54,16,36,52,521,591
01/21/2017,246,23,26,0,295,0,3,15,0,18,0,6,25,10,41,0,3,61,8,72,30,0,30,366,456
