OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=OCF,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,4,16,0,20,0,0,0,0,0,0,1,37,0,38,0,4,1,0,5,16,0,16,74,79
01/02/2017,0,3,35,0,38,0,0,0,0,0,0,0,54,0,54,0,0,0,0,0,92,0,92,184,184
01/03/2017,0,1,15,0,16,0,0,1,0,1,0,0,17,0,17,0,0,1,0,1,16,0,16,49,51
01/04/2017,0,3,43,4,50,0,0,0,0,0,0,0,102,0,102,0,2,4,0,6,92,0,92,244,250
01/05/2017,0,3,44,7,54,0,0,0,0,0,0,0,120,1,121,0,3,8,0,11,166,0,166,341,352
01/06/2017,0,7,19,5,31,0,0,0,0,0,0,0,111,1,112,0,0,1,1,2,68,8,76,219,221
01/07/2017,0,0,12,0,12,0,0,1,0,1,0,0,2,0,2,0,0,1,0,1,10,0,10,24,26
01/08/2017,0,1,45,6,52,0,0,0,0,0,0,0,70,0,70,0,1,1,0,2,28,0,28,150,152
01/09/2017,0,3,42,0,45,0,0,1,0,1,0,0,69,0,69,0,1,2,0,3,74,0,74,188,192
01/10/2017,0,2,60,0,62,0,0,0,0,0,0,0,128,2,130,0,3,0,0,3,60,0,60,252,255
01/11/2017,0,3,46,0,49,0,0,0,0,0,0,0,111,0,111,0,2,1,3,6,74,0,74,234,240
01/12/2017,0,4,23,0,27,0,0,0,0,0,0,0,101,0,101,0,0,5,0,5,150,0,150,278,283
01/13/2017,0,2,39,10,51,0,0,0,0,0,0,0,95,0,95,0,2,3,0,5,58,0,58,204,209
01/14/2017,0,1,43,0,44,0,0,0,0,0,0,0,82,0,82,0,0,2,0,2,30,0,30,156,158
01/15/2017,0,5,30,0,35,0,0,0,0,0,0,0,80,0,80,0,0,0,0,0,30,0,30,145,145
01/16/2017,0,2,40,0,42,0,0,0,0,0,0,0,96,0,96,0,2,1,0,3,76,0,76,214,217
01/17/2017,0,7,28,0,35,0,0,0,0,0,0,0,97,0,97,0,4,2,0,6,96,0,96,228,234
01/18/2017,0,2,30,0,32,0,0,1,0,1,0,0,88,0,88,0,0,2,0,2,92,0,92,212,215
01/19/2017,0,6,47,0,53,0,0,0,0,0,0,0,77,0,77,0,1,2,0,3,52,0,52,182,185
01/20/2017,0,12,15,0,27,0,0,0,0,0,0,0,92,0,92,0,0,7,1,8,58,0,58,177,185
01/21/2017,0,9,25,0,34,0,0,0,0,0,0,0,54,0,54,0,2,3,0,5,52,0,52,140,145
