OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=OGG,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,158,53,24,0,235,0,0,0,0,0,0,68,9,0,77,0,6,0,0,6,8,0,8,320,326
01/02/2017,155,37,28,0,220,0,0,0,0,0,0,244,35,0,279,0,7,1,1,9,8,0,8,507,516
01/03/2017,154,18,13,5,190,0,0,0,0,0,0,230,21,1,252,0,7,1,0,8,30,0,30,472,480
01/04/2017,162,18,10,5,195,0,1,0,0,1,0,197,28,4,229,0,8,0,0,8,28,0,28,452,461
01/05/2017,153,26,11,2,192,0,0,0,0,0,0,221,32,0,253,0,7,1,0,8,6,0,6,451,459
01/06/2017,148,26,10,2,186,0,2,0,0,2,0,200,34,4,238,0,3,0,1,4,46,0,46,470,476
01/07/2017,136,24,9,0,169,0,0,0,0,0,0,158,33,7,198,0,5,0,1,6,54,0,54,421,427
01/08/2017,151,16,17,2,186,0,0,0,0,0,0,132,25,8,165,0,7,0,0,7,6,0,6,357,364
01/09/2017,146,28,8,4,186,0,0,0,0,0,0,155,24,0,179,0,7,0,0,7,12,0,12,377,384
01/10/2017,137,15,6,3,161,0,1,0,0,1,0,144,24,4,172,0,5,0,1,6,18,0,18,351,358
01/11/2017,141,29,10,0,180,0,0,0,0,0,0,158,19,3,180,0,6,0,0,6,12,0,12,372,378
01/12/2017,150,19,7,2,178,0,1,0,0,1,0,196,23,2,221,0,5,0,0,5,38,0,38,437,443
01/13/2017,144,25,9,0,178,0,0,0,0,0,0,174,36,4,214,0,4,1,1,6,20,0,20,412,418
01/14/2017,154,21,10,3,188,0,0,0,0,0,0,153,32,4,189,0,5,0,0,5,14,0,14,391,396
01/15/2017,145,14,6,4,169,0,0,0,0,0,0,120,25,2,147,0,5,0,0,5,22,0,22,338,343
01/16/2017,152,18,5,1,176,0,1,0,0,1,0,183,25,1,209,0,4,0,0,4,9,0,9,394,399
01/17/2017,151,18,5,5,179,0,0,0,0,0,0,190,35,1,226,0,6,0,0,6,10,0,10,415,421
01/18/2017,145,15,8,7,175,0,3,0,0,3,0,163,31,0,194,0,9,0,0,9,32,4,36,405,417
01/19/2017,141,17,9,20,187,0,2,0,0,2,0,178,24,4,206,0,2,0,0,2,36,0,36,429,433
01/20/2017,149,37,1,0,187,0,0,0,0,0,0,136,17,2,155,0,4,0,0,4,58,0,58,400,404
01/21/2017,160,26,9,0,195,0,0,0,0,0,0,106,10,0,116,0,2,0,0,2,22,0,22,333,335
