OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=OKC,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,117,15,12,0,144,0,0,0,0,0,0,6,3,1,10,0,4,3,3,10,0,0,0,154,164
01/02/2017,110,19,23,0,152,0,0,0,0,0,0,2,14,0,16,0,2,5,2,9,0,0,0,168,177
01/03/2017,134,22,38,64,258,0,8,23,0,31,0,0,6,1,7,0,4,5,2,11,0,0,0,265,307
01/04/2017,119,22,26,120,287,1,1,4,1,7,0,3,15,3,21,0,3,10,2,15,0,182,182,490,512
01/05/2017,124,18,40,72,254,1,2,3,0,6,0,3,15,0,18,0,7,6,0,13,2,128,130,402,421
01/06/2017,118,17,29,4,168,3,3,4,0,10,0,4,5,2,11,0,0,5,4,9,0,0,0,179,198
01/07/2017,78,18,23,20,139,0,0,0,1,1,0,4,13,3,20,0,3,12,2,17,4,2,6,165,183
01/08/2017,109,11,19,13,152,0,0,0,0,0,0,5,10,4,19,0,2,8,3,13,12,0,12,183,196
01/09/2017,122,15,27,173,337,0,0,0,2,2,1,8,7,6,22,0,5,15,0,20,0,140,140,499,521
01/10/2017,125,15,52,160,352,0,1,2,0,3,0,6,15,14,35,0,3,13,3,19,0,70,70,457,479
01/11/2017,121,18,43,131,313,1,0,1,0,2,0,4,23,5,32,0,1,9,0,10,8,32,40,385,397
01/12/2017,131,26,52,86,295,2,4,16,1,23,0,1,67,11,79,0,11,4,1,16,82,34,116,490,529
01/13/2017,115,6,2,0,123,1,1,5,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,123,131
01/14/2017,76,10,2,0,88,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,88,93
01/15/2017,105,5,12,0,122,3,1,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,122,133
01/16/2017,126,22,24,1,173,0,1,6,0,7,0,3,1,0,4,0,2,7,0,9,0,0,0,177,193
01/17/2017,122,23,41,148,334,0,1,3,0,4,0,3,16,28,47,0,1,8,1,10,0,70,70,451,465
01/18/2017,121,32,73,139,365,0,1,0,2,3,0,0,31,7,38,0,2,21,1,24,0,144,144,547,574
01/19/2017,126,32,67,137,362,0,1,1,0,2,0,2,9,8,19,0,1,8,0,9,0,12,12,393,404
01/20/2017,128,18,47,119,312,0,0,1,0,1,0,2,13,4,19,0,3,18,1,22,0,12,12,343,366
01/21/2017,82,11,19,60,172,1,0,0,0,1,0,7,10,8,25,0,5,11,2,18,0,2,2,199,218
