OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=OMA,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,92,27,12,0,131,0,0,1,0,1,0,2,16,2,20,0,0,6,0,6,20,0,20,171,178
01/02/2017,127,50,18,0,195,0,1,0,0,1,0,0,0,3,3,0,0,0,0,0,8,0,8,206,207
01/03/2017,115,73,20,0,208,0,0,0,0,0,0,1,6,3,10,0,0,2,2,4,8,0,8,226,230
01/04/2017,118,57,24,2,201,0,0,0,0,0,0,1,9,5,15,0,0,3,1,4,16,2,18,234,238
01/05/2017,120,69,32,0,221,0,0,0,0,0,0,0,0,8,8,0,0,1,1,2,0,0,0,229,231
01/06/2017,123,75,24,15,237,0,0,0,0,0,0,0,2,2,4,0,0,5,0,5,6,10,16,257,262
01/07/2017,96,32,11,5,144,0,0,1,0,1,0,1,3,2,6,0,0,6,0,6,4,0,4,154,161
01/08/2017,129,46,14,0,189,0,0,0,0,0,0,1,11,5,17,0,0,2,0,2,16,0,16,222,224
01/09/2017,129,49,38,0,216,0,0,0,0,0,0,5,5,6,16,0,0,5,0,5,4,0,4,236,241
01/10/2017,122,43,30,10,205,0,0,0,0,0,0,2,4,4,10,0,0,3,0,3,8,10,18,233,236
01/11/2017,137,57,41,0,235,0,0,3,0,3,0,0,2,2,4,0,0,1,0,1,0,0,0,239,243
01/12/2017,126,77,41,0,244,0,0,2,0,2,0,1,17,6,24,0,0,3,1,4,28,0,28,296,302
01/13/2017,131,53,30,2,216,0,0,0,0,0,0,0,11,0,11,0,0,12,0,12,34,0,34,261,273
01/14/2017,92,30,22,0,144,1,0,0,0,1,0,2,11,4,17,0,0,7,0,7,40,0,40,201,209
01/15/2017,78,27,9,0,114,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,115,115
01/16/2017,93,31,9,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133
01/17/2017,129,63,38,0,230,0,0,1,0,1,0,0,2,2,4,0,0,5,0,5,0,0,0,234,240
01/18/2017,130,62,55,6,253,1,0,0,0,1,0,1,16,2,19,0,0,14,1,15,18,0,18,290,306
01/19/2017,126,59,42,0,227,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,227,228
01/20/2017,133,58,12,25,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26,254,254
01/21/2017,106,33,9,24,172,0,0,0,0,0,0,0,12,2,14,0,0,4,0,4,22,42,64,250,254
