OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=ORH,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,4,3,2,0,9,0,0,0,0,0,0,1,28,0,29,0,3,20,0,23,28,0,28,66,89
01/02/2017,4,1,20,0,25,0,0,0,0,0,0,2,55,0,57,0,2,24,0,26,62,0,62,144,170
01/03/2017,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
01/04/2017,4,0,25,0,29,0,0,1,0,1,0,0,3,0,3,0,0,5,0,5,6,0,6,38,44
01/05/2017,4,4,6,4,18,0,0,0,0,0,0,0,55,0,55,0,2,17,6,25,56,4,60,133,158
01/06/2017,2,1,6,0,9,0,0,0,0,0,0,0,13,0,13,0,6,9,0,15,10,0,10,32,47
01/07/2017,0,0,5,0,5,0,0,0,0,0,0,0,4,0,4,0,0,1,0,1,4,0,4,13,14
01/08/2017,4,1,1,0,6,0,0,0,0,0,0,0,18,0,18,0,4,15,0,19,22,0,22,46,65
01/09/2017,4,2,5,0,11,0,0,0,0,0,0,0,29,0,29,0,6,28,0,34,50,6,56,96,130
01/10/2017,4,1,2,0,7,0,0,0,0,0,0,0,43,0,43,0,8,31,0,39,36,0,36,86,125
01/11/2017,4,6,10,2,22,0,0,0,0,0,0,2,45,3,50,0,2,18,7,27,40,8,48,120,147
01/12/2017,4,2,10,0,16,0,0,0,0,0,0,0,26,0,26,0,0,9,0,9,6,0,6,48,57
01/13/2017,4,1,9,0,14,0,0,0,0,0,0,0,38,0,38,0,9,25,0,34,40,0,40,92,126
01/14/2017,4,0,16,0,20,0,0,0,0,0,0,6,54,0,60,0,7,5,0,12,48,0,48,128,140
01/15/2017,4,2,2,0,8,0,0,0,0,0,0,1,48,0,49,0,5,26,0,31,56,0,56,113,144
01/16/2017,4,5,23,4,36,0,0,0,0,0,0,1,59,0,60,0,3,32,0,35,42,4,46,142,177
01/17/2017,4,1,9,2,16,0,0,0,0,0,0,2,35,0,37,0,6,23,0,29,38,0,38,91,120
01/18/2017,4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
01/19/2017,4,0,25,0,29,0,0,0,0,0,0,1,41,0,42,0,3,16,0,19,24,2,26,97,116
01/20/2017,2,2,29,0,33,0,0,0,0,0,0,0,52,0,52,0,0,11,22,33,42,0,42,127,160
01/21/2017,4,1,16,0,21,0,0,0,0,0,0,0,20,0,20,0,0,17,0,17,49,0,49,90,107
