OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=OSU,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,3,6,0,9,0,1,1,0,2,0,0,60,0,60,0,1,10,0,11,42,0,42,111,124
01/02/2017,0,3,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
01/03/2017,0,9,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/04/2017,0,4,12,0,16,0,0,0,0,0,0,2,29,0,31,0,1,5,1,7,32,0,32,79,86
01/05/2017,0,5,23,0,28,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,31,31
01/06/2017,0,7,28,1,36,0,8,9,0,17,0,34,50,1,85,0,5,16,2,23,54,0,54,175,215
01/07/2017,0,5,11,0,16,0,5,4,0,9,0,13,62,0,75,0,5,8,0,13,26,0,26,117,139
01/08/2017,0,6,10,0,16,0,0,0,0,0,0,6,41,0,47,0,1,8,0,9,50,0,50,113,122
01/09/2017,0,3,11,0,14,0,0,0,0,0,0,6,53,0,59,0,0,11,0,11,0,0,0,73,84
01/10/2017,0,3,10,0,13,0,0,0,0,0,0,2,4,0,6,0,3,1,0,4,0,0,0,19,23
01/11/2017,0,6,12,0,18,0,2,2,0,4,0,38,26,0,64,0,5,5,0,10,52,0,52,134,148
01/12/2017,0,10,14,0,24,0,0,0,0,0,0,0,2,0,2,0,0,4,0,4,0,0,0,26,30
01/13/2017,0,9,18,0,27,0,1,1,0,2,0,79,66,0,145,0,2,8,0,10,220,0,220,392,404
01/14/2017,0,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/15/2017,0,3,14,0,17,0,0,0,0,0,0,0,41,0,41,0,0,0,0,0,80,0,80,138,138
01/16/2017,0,5,18,0,23,0,0,1,0,1,0,1,14,0,15,0,0,3,0,3,30,0,30,68,72
01/17/2017,0,7,12,0,19,0,0,0,0,0,0,10,14,0,24,0,6,2,0,8,2,0,2,45,53
01/18/2017,0,9,16,0,25,0,0,0,0,0,0,0,3,0,3,0,0,2,0,2,0,0,0,28,30
01/19/2017,0,7,35,0,42,0,0,0,0,0,0,21,28,2,51,0,0,11,4,15,58,0,58,151,166
01/20/2017,0,11,19,0,30,0,0,1,0,1,0,1,15,0,16,0,0,3,0,3,16,0,16,62,66
01/21/2017,0,11,37,0,48,0,0,0,0,0,0,43,100,0,143,0,0,6,0,6,78,0,78,269,275
