OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=OTH,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,4,0,0,4,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,13,13
01/02/2017,0,4,5,0,9,0,0,0,0,0,0,1,1,14,16,0,0,0,0,0,0,18,18,43,43
01/03/2017,0,5,2,0,7,0,0,0,0,0,0,17,10,4,31,0,1,0,0,1,18,22,40,78,79
01/04/2017,0,3,0,0,3,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,6,6
01/05/2017,0,4,3,1,8,0,0,0,0,0,0,4,7,5,16,0,0,1,0,1,0,0,0,24,25
01/06/2017,0,6,4,1,11,0,0,0,0,0,0,9,4,5,18,0,0,0,0,0,4,0,4,33,33
01/07/2017,0,3,3,0,6,0,0,0,0,0,0,0,0,4,4,0,0,0,2,2,0,24,24,34,36
01/08/2017,0,2,1,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,6
01/09/2017,0,5,3,0,8,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,14,14
01/10/2017,0,8,6,10,24,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,20,20,79,79
01/11/2017,0,2,2,0,4,0,0,0,0,0,0,0,0,11,11,0,0,0,4,4,0,0,0,15,19
01/12/2017,0,1,5,1,7,0,0,0,0,0,0,4,8,4,16,0,0,2,1,3,0,26,26,49,52
01/13/2017,0,8,4,0,12,0,0,0,0,0,0,2,6,10,18,0,0,3,0,3,0,8,8,38,41
01/14/2017,0,3,1,0,4,0,0,0,0,0,0,3,5,4,12,0,2,3,1,6,0,0,0,16,22
01/15/2017,0,4,1,0,5,0,0,0,0,0,0,0,10,12,22,0,0,0,1,1,0,32,32,59,60
01/16/2017,0,7,0,0,7,0,0,0,0,0,0,1,7,3,11,0,0,0,0,0,0,0,0,18,18
01/17/2017,0,6,1,0,7,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,44,44,58,58
01/18/2017,0,11,3,0,14,0,0,0,0,0,0,0,0,9,9,0,0,0,2,2,0,0,0,23,25
01/19/2017,0,12,1,0,13,0,0,0,0,0,0,4,2,17,23,0,0,0,0,0,0,26,26,62,62
01/20/2017,0,9,1,0,10,0,0,0,0,0,0,2,0,15,17,0,0,0,0,0,0,20,20,47,47
01/21/2017,0,4,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,8,8
