OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PAE,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,2,0,2,0,0,0,0,0,0,0,19,0,19,0,3,1,0,4,57,0,57,78,82
01/02/2017,2,0,38,0,40,0,0,1,0,1,0,0,146,0,146,0,0,7,0,7,0,0,0,186,194
01/03/2017,0,6,13,0,19,0,0,1,0,1,0,0,72,0,72,0,4,6,0,10,251,0,251,342,353
01/04/2017,5,4,21,2,32,0,0,3,0,3,0,0,112,0,112,0,2,10,0,12,244,0,244,388,403
01/05/2017,1,7,20,0,28,0,0,0,1,1,0,0,122,0,122,0,2,6,0,8,267,0,267,417,426
01/06/2017,20,3,28,0,51,1,1,1,0,3,0,1,88,0,89,0,2,5,0,7,121,0,121,261,271
01/07/2017,2,0,8,0,10,0,0,1,0,1,0,5,86,0,91,0,3,11,0,14,98,0,98,199,214
01/08/2017,9,3,8,0,20,0,0,0,0,0,6,0,8,0,14,0,0,3,0,3,20,0,20,54,57
01/09/2017,13,3,9,0,25,0,0,0,0,0,0,1,16,0,17,0,3,18,0,21,0,0,0,42,63
01/10/2017,16,2,24,11,53,0,0,2,0,2,2,0,32,0,34,0,2,4,0,6,83,0,83,170,178
01/11/2017,7,2,33,2,44,0,0,0,0,0,0,0,87,0,87,0,2,1,0,3,159,0,159,290,293
01/12/2017,9,6,40,0,55,0,0,1,0,1,0,2,114,1,117,0,0,14,0,14,135,0,135,307,322
01/13/2017,6,4,18,0,28,0,0,0,0,0,0,2,101,0,103,0,4,4,0,8,167,0,167,298,306
01/14/2017,5,1,19,0,25,0,0,3,0,3,0,0,132,0,132,0,3,9,1,13,174,8,182,339,355
01/15/2017,15,2,24,0,41,0,0,0,0,0,3,0,154,0,157,0,4,5,0,9,266,0,266,464,473
01/16/2017,23,5,31,0,59,0,0,1,0,1,0,0,60,0,60,0,0,8,0,8,132,0,132,251,260
01/17/2017,12,0,18,0,30,0,0,1,0,1,0,0,8,0,8,0,1,0,0,1,42,0,42,80,82
01/18/2017,16,5,19,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,74,74
01/19/2017,11,3,22,0,36,0,0,1,0,1,0,0,13,0,13,0,0,1,0,1,23,0,23,72,74
01/20/2017,20,0,30,2,52,0,0,2,0,2,0,0,64,0,64,0,2,5,0,7,132,0,132,248,257
01/21/2017,15,0,34,0,49,0,0,2,0,2,0,0,113,0,113,0,1,5,0,6,180,6,186,348,356
