OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PBI,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,193,172,170,1,536,0,0,0,0,0,0,3,51,1,55,0,1,6,0,7,0,0,0,591,598
01/02/2017,203,203,264,0,670,0,0,1,0,1,0,4,65,0,69,0,1,9,0,10,0,0,0,739,750
01/03/2017,188,133,164,0,485,0,0,0,0,0,0,7,78,0,85,0,3,12,0,15,0,0,0,570,585
01/04/2017,180,92,155,1,428,0,0,1,0,1,0,5,62,2,69,0,1,4,0,5,0,0,0,497,503
01/05/2017,176,110,139,6,431,0,0,0,0,0,0,4,73,8,85,0,7,12,0,19,0,0,0,516,535
01/06/2017,193,108,164,2,467,0,0,1,0,1,0,2,79,0,81,0,2,16,0,18,0,0,0,548,567
01/07/2017,146,81,98,1,326,0,0,0,0,0,0,0,22,0,22,0,1,2,0,3,0,0,0,348,351
01/08/2017,175,146,186,0,507,0,0,0,0,0,0,1,39,0,40,0,2,3,1,6,0,0,0,547,553
01/09/2017,185,102,125,2,414,0,0,0,0,0,0,4,58,2,64,0,1,11,0,12,0,0,0,478,490
01/10/2017,159,87,112,0,358,0,0,0,0,0,0,11,53,0,64,0,4,14,0,18,0,0,0,422,440
01/11/2017,170,94,131,0,395,0,0,0,0,0,0,6,62,1,69,0,2,5,0,7,0,0,0,464,471
01/12/2017,181,122,179,4,486,0,0,3,0,3,0,3,79,0,82,0,3,15,0,18,0,0,0,568,589
01/13/2017,178,178,163,2,521,0,0,0,0,0,0,6,68,2,76,0,4,13,0,17,0,0,0,597,614
01/14/2017,158,74,102,0,334,0,0,0,0,0,0,5,43,0,48,0,8,8,0,16,0,0,0,382,398
01/15/2017,159,119,136,0,414,0,0,0,0,0,0,2,49,0,51,0,3,7,0,10,0,0,0,465,475
01/16/2017,175,184,198,0,557,0,0,0,0,0,0,2,60,0,62,0,1,8,0,9,0,0,0,619,628
01/17/2017,167,118,126,12,423,0,0,0,0,0,0,12,81,2,95,0,5,13,0,18,0,0,0,518,536
01/18/2017,175,94,127,1,397,0,0,1,0,1,0,11,76,0,87,0,1,8,1,10,0,0,0,484,495
01/19/2017,176,134,130,1,441,0,0,1,0,1,0,5,75,0,80,0,2,13,0,15,0,0,0,521,537
01/20/2017,176,137,159,9,481,0,0,0,0,0,0,8,75,2,85,0,3,9,0,12,0,0,0,566,578
01/21/2017,163,95,118,0,376,0,0,0,0,0,0,7,51,0,58,0,7,17,0,24,0,0,0,434,458
