OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PDK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,24,31,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55
01/02/2017,0,21,43,0,64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,65
01/03/2017,0,64,127,0,191,0,0,0,0,0,0,10,31,0,41,0,8,12,0,20,66,0,66,298,318
01/04/2017,0,43,99,0,142,0,1,1,0,2,0,5,84,0,89,0,20,34,0,54,38,0,38,269,325
01/05/2017,0,34,120,0,154,0,0,2,1,3,0,8,160,0,168,0,13,23,0,36,114,0,114,436,475
01/06/2017,0,31,106,0,137,0,1,0,0,1,0,1,17,0,18,0,0,8,0,8,112,0,112,267,276
01/07/2017,0,4,18,0,22,0,0,0,0,0,0,6,19,0,25,0,0,8,0,8,2,0,2,49,57
01/08/2017,0,45,70,2,117,0,0,0,0,0,0,4,67,0,71,0,1,24,0,25,8,0,8,196,221
01/09/2017,1,43,128,0,172,0,0,0,1,1,0,13,119,0,132,0,11,22,1,34,28,2,30,334,369
01/10/2017,0,64,142,0,206,0,0,0,0,0,0,4,134,0,138,0,21,45,0,66,124,0,124,468,534
01/11/2017,0,54,165,0,219,0,0,0,0,0,0,6,119,0,125,0,5,22,0,27,111,0,111,455,482
01/12/2017,0,64,161,2,227,0,0,0,0,0,0,11,179,0,190,0,33,39,0,72,110,0,110,527,599
01/13/2017,0,60,156,0,216,0,1,1,2,4,0,12,183,0,195,0,37,48,0,85,144,0,144,555,644
01/14/2017,0,21,84,2,107,0,0,2,0,2,0,8,157,2,167,0,14,42,0,56,167,0,167,441,499
01/15/2017,0,39,88,7,134,0,0,3,0,3,0,5,172,0,177,0,17,4,0,21,180,0,180,491,515
01/16/2017,0,69,142,0,211,0,0,0,0,0,0,4,130,0,134,0,10,36,0,46,218,0,218,563,609
01/17/2017,0,76,155,3,234,0,0,0,1,1,0,2,85,0,87,0,11,35,0,46,176,6,182,503,550
01/18/2017,0,53,152,0,205,0,0,1,1,2,0,5,143,1,149,0,2,22,0,24,80,0,80,434,460
01/19/2017,0,54,155,3,212,0,0,0,0,0,0,3,87,0,90,0,13,13,0,26,234,0,234,536,562
01/20/2017,0,38,140,0,178,0,0,0,1,1,0,3,91,0,94,0,10,30,0,40,88,0,88,360,401
01/21/2017,0,28,45,0,73,0,0,0,0,0,0,2,29,0,31,0,13,10,0,23,26,0,26,130,153
