OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PDX,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,426,20,9,0,455,0,0,0,0,0,0,0,1,0,1,0,0,19,0,19,0,0,0,456,475
01/02/2017,478,37,30,0,545,0,0,0,0,0,0,3,7,0,10,0,0,32,0,32,0,0,0,555,587
01/03/2017,505,59,17,26,607,0,0,0,0,0,0,21,5,0,26,0,1,68,0,69,0,0,0,633,702
01/04/2017,507,52,24,12,595,0,0,4,0,4,0,22,11,0,33,0,1,43,0,44,4,0,4,632,680
01/05/2017,496,62,39,14,611,0,0,2,0,2,0,26,42,0,68,0,0,179,2,181,12,0,12,691,874
01/06/2017,494,66,24,23,607,0,0,1,0,1,0,22,20,0,42,0,1,122,0,123,2,0,2,651,775
01/07/2017,263,35,11,0,309,0,0,0,0,0,0,1,0,0,1,0,0,6,0,6,14,0,14,324,330
01/08/2017,248,10,12,0,270,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,270,272
01/09/2017,454,63,33,1,551,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,554,554
01/10/2017,398,66,31,16,511,0,0,0,0,0,0,2,0,0,2,0,0,19,0,19,2,0,2,515,534
01/11/2017,364,29,12,1,406,0,0,1,0,1,0,0,0,2,2,0,1,6,0,7,0,0,0,408,416
01/12/2017,491,79,19,0,589,0,0,1,1,2,0,20,13,2,35,0,0,12,0,12,0,0,0,624,638
01/13/2017,482,60,34,4,580,0,0,0,0,0,0,18,10,0,28,0,0,17,0,17,12,0,12,620,637
01/14/2017,400,37,17,4,458,1,0,0,0,1,0,9,8,0,17,0,0,44,0,44,0,0,0,475,520
01/15/2017,409,30,12,0,451,0,0,0,0,0,0,1,15,0,16,0,0,92,0,92,0,0,0,467,559
01/16/2017,464,56,22,2,544,0,0,0,0,0,0,22,7,0,29,0,0,58,0,58,0,0,0,573,631
01/17/2017,336,38,25,0,399,0,0,1,0,1,0,3,1,0,4,0,0,1,0,1,0,0,0,403,405
01/18/2017,464,75,40,11,590,0,0,1,0,1,0,9,5,0,14,0,0,5,0,5,0,0,0,604,610
01/19/2017,484,67,41,20,612,0,0,3,0,3,0,21,12,1,34,0,2,47,2,51,0,0,0,646,700
01/20/2017,468,63,23,9,563,0,0,0,0,0,0,17,11,0,28,0,0,36,0,36,0,0,0,591,627
01/21/2017,390,42,15,1,448,0,0,0,0,0,0,4,0,0,4,0,0,44,0,44,0,0,0,452,496
