OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PGD,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,26,1,6,0,33,0,0,0,0,0,0,0,49,0,49,0,0,18,0,18,30,0,30,112,130
01/02/2017,26,6,47,0,79,0,0,0,0,0,0,0,72,0,72,0,0,14,0,14,68,0,68,219,233
01/04/2017,20,0,16,0,36,0,0,0,0,0,0,5,50,0,55,0,0,40,0,40,42,0,42,133,173
01/05/2017,26,10,20,0,56,0,0,0,0,0,0,5,139,0,144,0,0,18,0,18,96,0,96,296,314
01/06/2017,28,9,26,0,63,0,2,0,0,2,0,0,70,0,70,0,0,22,0,22,36,0,36,169,193
01/07/2017,15,7,13,0,35,0,0,2,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,39,41
01/08/2017,32,1,22,0,55,0,0,0,0,0,0,0,43,0,43,0,0,22,0,22,26,0,26,124,146
01/09/2017,26,2,30,0,58,0,0,0,0,0,0,3,91,0,94,0,2,2,0,4,94,0,94,246,250
01/10/2017,12,2,19,0,33,0,0,0,0,0,0,0,93,0,93,0,0,8,0,8,58,0,58,184,192
01/11/2017,18,2,28,4,52,0,0,0,0,0,0,3,106,0,109,0,4,14,0,18,76,4,80,241,259
01/12/2017,28,1,8,0,37,0,0,0,0,0,0,0,137,0,137,0,0,16,0,16,82,0,82,256,272
01/13/2017,23,3,19,2,47,0,0,0,0,0,0,0,96,0,96,0,0,18,0,18,80,0,80,223,241
01/14/2017,16,3,26,0,45,0,0,0,0,0,0,1,126,0,127,0,0,32,0,32,84,0,84,256,288
01/15/2017,30,4,31,0,65,0,0,0,0,0,0,0,96,0,96,0,2,24,0,26,54,0,54,215,241
01/16/2017,24,4,29,0,57,0,0,0,0,0,0,0,82,0,82,0,0,4,0,4,62,0,62,201,205
01/17/2017,13,2,19,4,38,0,0,0,0,0,0,2,117,0,119,0,0,8,0,8,136,0,136,293,301
01/18/2017,23,8,41,4,76,0,0,0,0,0,0,3,172,0,175,0,0,10,0,10,112,0,112,363,373
01/19/2017,25,4,32,0,61,0,0,0,0,0,0,0,128,2,130,0,0,2,0,2,26,0,26,217,219
01/20/2017,26,5,19,0,50,0,0,0,0,0,0,0,105,0,105,0,0,22,0,22,72,0,72,227,249
01/21/2017,14,1,24,0,39,0,0,0,0,0,0,0,111,0,111,0,0,26,0,26,44,0,44,194,220
01/22/2017,24,4,6,0,34,0,0,0,0,0,0,2,12,0,14,0,0,0,0,0,0,0,0,48,48
