OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PHL,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,495,331,28,0,854,0,1,1,0,2,0,0,6,0,6,0,0,9,1,10,0,0,0,860,872
01/02/2017,563,347,26,0,936,1,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,936,941
01/03/2017,592,353,10,0,955,1,4,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,955,962
01/04/2017,618,369,30,0,1017,0,1,0,0,1,0,4,8,0,12,0,1,7,3,11,0,0,0,1029,1041
01/05/2017,624,354,22,1,1001,0,3,0,0,3,0,3,5,0,8,0,3,6,1,10,0,0,0,1009,1022
01/06/2017,590,341,16,0,947,0,1,0,0,1,0,2,7,0,9,0,5,9,2,16,0,0,0,956,973
01/07/2017,394,182,5,0,581,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,581,582
01/08/2017,514,352,23,0,889,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,889,895
01/09/2017,556,369,18,2,945,0,0,0,0,0,0,4,4,0,8,0,2,24,2,28,0,0,0,953,981
01/10/2017,545,332,33,0,910,0,1,1,0,2,0,2,6,3,11,0,5,9,0,14,0,0,0,921,937
01/11/2017,567,346,33,0,946,0,5,0,0,5,0,1,8,1,10,0,3,18,2,23,0,0,0,956,984
01/12/2017,595,387,35,0,1017,1,0,1,0,2,0,0,6,2,8,0,2,20,3,25,0,0,0,1025,1052
01/13/2017,579,392,30,3,1004,1,1,0,1,3,0,2,10,2,14,0,13,11,3,27,0,0,0,1018,1048
01/14/2017,475,278,11,0,764,0,1,0,0,1,0,0,0,2,2,0,0,5,1,6,0,0,0,766,773
01/15/2017,505,331,17,2,855,0,0,0,0,0,0,0,7,0,7,0,0,3,0,3,0,0,0,862,865
01/16/2017,545,390,41,0,976,0,3,0,0,3,0,2,16,0,18,0,0,15,1,16,0,0,0,994,1013
01/17/2017,545,350,31,1,927,8,0,1,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,927,937
01/18/2017,560,345,46,1,952,0,4,2,0,6,0,0,7,0,7,0,0,1,0,1,0,0,0,959,966
01/19/2017,590,397,38,1,1026,1,0,1,0,2,0,3,10,0,13,0,4,12,7,23,0,0,0,1039,1064
01/20/2017,580,395,24,0,999,2,1,0,0,3,0,0,4,0,4,0,0,6,0,6,0,0,0,1003,1012
01/21/2017,480,258,19,0,757,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,757,758
