OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PIH,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/02/2017,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
01/03/2017,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
01/04/2017,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
01/05/2017,0,15,2,0,17,0,0,0,0,0,0,2,6,0,8,0,2,2,0,4,8,0,8,33,37
01/06/2017,0,13,1,0,14,0,0,0,0,0,0,0,8,0,8,0,0,4,0,4,0,0,0,22,26
01/07/2017,0,7,1,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,9
01/08/2017,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
01/09/2017,0,13,3,0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,17,17
01/10/2017,0,13,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
01/11/2017,0,13,0,0,13,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,21,21
01/12/2017,0,19,3,0,22,0,0,0,0,0,0,0,13,0,13,0,6,0,0,6,0,0,0,35,41
01/13/2017,0,14,2,0,16,0,0,0,0,0,0,1,35,0,36,0,0,6,0,6,34,0,34,86,92
01/14/2017,0,7,2,0,9,0,0,0,0,0,0,2,12,0,14,0,0,6,0,6,2,0,2,25,31
01/15/2017,0,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,8,10
01/16/2017,0,7,3,0,10,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,2,0,2,33,33
01/17/2017,0,13,14,0,27,0,0,0,0,0,0,0,34,0,34,0,0,1,0,1,8,0,8,69,70
01/18/2017,0,12,12,0,24,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,38,38
01/19/2017,0,22,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
01/20/2017,0,12,10,0,22,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,2,0,2,45,45
01/21/2017,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
