OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PIT,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,195,68,20,0,283,0,0,0,0,0,0,1,1,0,2,0,4,2,2,8,0,0,0,285,293
01/02/2017,240,74,14,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,328
01/03/2017,248,71,13,2,334,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,334,336
01/04/2017,245,84,15,27,371,0,0,1,0,1,0,2,0,3,5,0,10,0,0,10,0,0,0,376,387
01/05/2017,242,88,8,9,347,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,347,348
01/06/2017,238,94,6,18,356,0,0,0,0,0,0,2,2,0,4,0,2,1,0,3,0,0,0,360,363
01/07/2017,177,67,11,6,261,0,0,1,0,1,0,0,0,0,0,0,2,2,0,4,0,0,0,261,266
01/08/2017,221,91,30,1,343,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,346,346
01/09/2017,236,113,21,50,420,0,0,0,0,0,0,0,5,0,5,0,5,2,0,7,0,0,0,425,432
01/10/2017,230,100,17,5,352,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,352,355
01/11/2017,242,104,15,45,406,0,0,0,0,0,0,0,4,0,4,0,2,0,0,2,0,0,0,410,412
01/12/2017,247,110,24,15,396,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,396,397
01/13/2017,253,106,21,0,380,0,0,0,0,0,0,0,5,0,5,0,2,4,0,6,0,0,0,385,391
01/14/2017,185,45,5,0,235,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,235,238
01/15/2017,212,59,6,1,278,0,1,0,0,1,0,0,1,0,1,0,10,0,1,11,0,0,0,279,291
01/16/2017,249,114,26,0,389,0,0,0,0,0,0,0,2,1,3,0,1,1,0,2,0,0,0,392,394
01/17/2017,231,109,25,26,391,0,1,0,0,1,0,0,0,3,3,0,3,0,0,3,0,0,0,394,398
01/18/2017,238,102,26,11,377,1,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,377,381
01/19/2017,246,110,31,9,396,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,396,399
01/20/2017,256,99,13,16,384,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,384,389
01/21/2017,195,57,17,0,269,0,1,0,0,1,0,0,0,0,0,0,4,2,1,7,0,0,0,269,277
