OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PNE,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,8,22,0,30,0,1,1,0,2,0,2,74,0,76,0,0,6,0,6,8,0,8,114,122
01/02/2017,0,18,12,0,30,0,2,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41
01/03/2017,0,9,8,0,17,0,1,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,18,22
01/04/2017,0,17,13,0,30,0,1,1,0,2,0,0,56,0,56,0,0,9,0,9,44,0,44,130,141
01/05/2017,0,16,21,1,38,0,0,1,0,1,0,0,65,1,66,0,0,4,0,4,46,0,46,150,155
01/06/2017,0,10,18,0,28,0,1,2,0,3,0,0,55,0,55,0,0,11,0,11,29,0,29,112,126
01/07/2017,0,4,0,0,4,1,4,4,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,5,15
01/08/2017,0,8,11,0,19,0,2,0,0,2,0,0,29,0,29,0,0,3,0,3,0,0,0,48,53
01/09/2017,0,13,14,1,28,1,0,3,0,4,0,0,63,1,64,0,0,11,0,11,10,0,10,102,117
01/10/2017,0,9,18,1,28,0,0,2,0,2,0,1,76,1,78,0,0,17,0,17,76,0,76,182,201
01/11/2017,0,10,18,1,29,0,0,1,0,1,0,0,102,1,103,0,0,25,0,25,18,0,18,150,176
01/12/2017,0,13,15,1,29,1,0,1,0,2,0,0,74,0,74,0,0,8,0,8,36,0,36,139,149
01/13/2017,0,16,23,0,39,1,2,2,0,5,0,2,95,0,97,0,0,7,0,7,36,0,36,172,184
01/14/2017,0,6,12,0,18,1,1,3,0,5,0,3,48,0,51,0,0,3,0,3,68,0,68,137,145
01/15/2017,0,7,15,0,22,1,4,1,0,6,0,0,80,0,80,0,0,13,0,13,82,0,82,184,203
01/16/2017,0,16,27,0,43,0,1,0,0,1,0,1,100,0,101,0,0,26,0,26,52,0,52,196,223
01/17/2017,0,10,13,0,23,1,1,4,0,6,0,0,16,0,16,0,0,0,0,0,80,0,80,119,125
01/18/2017,0,11,29,0,40,0,3,5,0,8,0,0,33,0,33,0,0,5,0,5,48,0,48,121,134
01/19/2017,0,10,23,1,34,2,2,2,0,6,0,0,152,0,152,0,0,32,0,32,38,0,38,224,262
01/20/2017,0,12,21,1,34,1,2,23,0,26,0,0,51,0,51,0,0,13,0,13,28,0,28,113,152
01/21/2017,0,12,11,0,23,2,0,3,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,24,29
