OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PNS,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,32,24,5,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61
01/02/2017,33,25,11,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69
01/03/2017,37,45,29,27,138,0,0,0,0,0,0,0,22,47,69,0,5,1,5,11,126,0,126,333,344
01/04/2017,32,38,30,53,153,3,3,1,1,8,0,0,23,50,73,0,9,1,10,20,94,0,94,320,348
01/05/2017,35,36,26,38,135,0,0,0,0,0,0,1,43,53,97,0,4,0,15,19,240,0,240,472,491
01/06/2017,31,37,8,29,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105
01/07/2017,23,21,9,14,67,0,0,0,0,0,0,4,14,30,48,0,7,1,6,14,48,0,48,163,177
01/08/2017,30,22,26,19,97,0,0,0,0,0,0,0,29,38,67,0,4,0,6,10,152,8,160,324,334
01/09/2017,32,30,19,63,144,0,0,0,1,1,0,0,23,68,91,0,1,0,10,11,110,4,114,349,361
01/10/2017,34,39,19,83,175,0,0,0,0,0,0,0,24,53,77,0,4,0,3,7,100,10,110,362,369
01/11/2017,34,36,28,67,165,0,0,0,0,0,0,3,15,40,58,0,3,1,8,12,94,16,110,333,345
01/12/2017,36,35,24,19,114,0,0,0,0,0,0,2,38,49,89,0,8,0,7,15,168,0,168,371,386
01/13/2017,36,36,33,57,162,0,0,0,0,0,0,0,47,76,123,0,4,1,13,18,164,20,184,469,487
01/14/2017,27,20,24,13,84,0,0,1,0,1,0,0,48,54,102,0,8,3,0,11,108,12,120,306,318
01/15/2017,26,22,29,34,111,0,0,0,0,0,0,0,25,43,68,0,0,0,3,3,138,8,146,325,328
01/16/2017,32,32,27,5,96,0,0,0,0,0,0,0,27,6,33,0,3,2,2,7,40,0,40,169,176
01/17/2017,34,33,29,55,151,0,0,0,0,0,0,2,8,29,39,0,10,0,8,18,144,10,154,344,362
01/18/2017,32,33,18,56,139,0,0,0,0,0,0,0,10,25,35,0,5,0,1,6,54,0,54,228,234
01/19/2017,36,33,22,79,170,0,0,0,0,0,0,0,0,2,2,0,0,0,6,6,0,0,0,172,178
01/20/2017,36,35,27,50,148,0,0,0,1,1,0,1,1,4,6,0,2,0,0,2,4,0,4,158,161
01/21/2017,29,20,13,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,80,80
