OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PRC,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,5
01/02/2017,0,8,8,0,16,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,35,0,35,62,62
01/03/2017,0,11,8,0,19,0,0,0,0,0,0,1,129,0,130,0,0,0,0,0,317,0,317,466,466
01/04/2017,0,11,6,5,22,0,0,0,0,0,0,1,205,1,207,0,1,0,0,1,534,0,534,763,764
01/05/2017,0,10,6,0,16,0,0,0,0,0,0,3,89,0,92,0,0,0,0,0,274,0,274,382,382
01/06/2017,0,9,12,0,21,0,0,0,0,0,0,1,160,0,161,0,0,2,0,2,548,0,548,730,732
01/07/2017,0,9,3,0,12,0,0,0,0,0,0,0,95,0,95,0,0,0,0,0,217,0,217,324,324
01/08/2017,0,3,7,0,10,0,0,0,0,0,0,0,104,0,104,0,0,0,0,0,147,0,147,261,261
01/09/2017,0,9,2,2,13,0,0,0,0,0,0,0,67,0,67,0,0,0,0,0,316,0,316,396,396
01/10/2017,0,10,7,0,17,0,0,0,0,0,0,4,247,0,251,0,0,1,0,1,641,0,641,909,910
01/11/2017,0,17,7,0,24,0,0,0,0,0,0,1,204,0,205,0,0,0,0,0,608,0,608,837,837
01/12/2017,0,12,20,0,32,0,0,0,0,0,0,0,67,0,67,0,0,0,0,0,629,0,629,728,728
01/13/2017,0,9,9,0,18,0,0,0,0,0,0,2,131,0,133,0,0,0,0,0,422,0,422,573,573
01/14/2017,0,6,5,0,11,0,0,0,0,0,0,2,51,0,53,0,0,1,0,1,207,0,207,271,272
01/15/2017,0,3,5,0,8,0,0,0,0,0,0,2,35,0,37,0,0,0,0,0,194,0,194,239,239
01/16/2017,0,9,8,0,17,0,0,0,0,0,0,2,225,0,227,0,1,0,0,1,769,0,769,1013,1014
01/17/2017,0,9,13,0,22,0,0,0,0,0,0,4,193,0,197,0,2,0,0,2,419,0,419,638,640
01/18/2017,0,11,11,0,22,0,0,0,0,0,0,3,335,4,342,0,0,0,0,0,747,0,747,1111,1111
01/19/2017,0,11,3,0,14,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,7,0,7,25,25
01/20/2017,0,7,1,0,8,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,174,0,174,197,197
01/21/2017,0,5,4,0,9,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,59,0,59,75,75
