OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PSC,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,19,10,3,0,32,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33
01/02/2017,17,6,6,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,29,30
01/03/2017,19,21,7,5,52,0,0,0,0,0,0,1,5,0,6,0,3,0,0,3,7,0,7,65,68
01/04/2017,17,13,15,16,61,0,0,0,0,0,0,0,16,4,20,0,1,1,0,2,24,27,51,132,134
01/05/2017,20,15,9,4,48,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,44,0,44,97,97
01/06/2017,22,14,15,0,51,0,0,0,0,0,0,0,22,0,22,0,0,3,1,4,48,0,48,121,125
01/07/2017,16,16,10,0,42,0,0,0,0,0,0,0,11,0,11,0,0,1,0,1,0,0,0,53,54
01/08/2017,16,3,5,0,24,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,26,26
01/09/2017,16,12,16,0,44,0,0,1,0,1,0,0,8,0,8,0,1,1,0,2,20,0,20,72,75
01/10/2017,16,13,9,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42
01/11/2017,17,23,15,3,58,0,0,0,0,0,0,1,5,1,7,0,0,0,0,0,22,1,23,88,88
01/12/2017,21,16,12,0,49,0,0,1,0,1,0,1,10,0,11,0,0,2,0,2,33,0,33,93,96
01/13/2017,21,18,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43
01/14/2017,21,14,8,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43
01/15/2017,14,15,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,46,46
01/16/2017,25,16,12,0,53,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,56,59
01/17/2017,14,14,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37
01/18/2017,8,11,9,2,30,0,0,0,0,0,0,0,2,1,3,0,0,1,0,1,0,0,0,33,34
01/19/2017,21,17,11,11,60,0,0,0,0,0,0,2,2,0,4,0,2,0,0,2,0,5,5,69,71
01/20/2017,17,7,5,2,31,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,18,0,18,52,52
01/21/2017,18,11,2,8,39,0,0,1,0,1,0,0,2,0,2,0,0,4,0,4,52,0,52,93,98
