OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PTK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,7,36,0,43,0,0,0,0,0,0,1,104,0,105,0,0,7,0,7,126,0,126,274,281
01/02/2017,4,17,77,0,98,0,0,0,0,0,0,0,42,0,42,0,0,3,0,3,138,0,138,278,281
01/03/2017,2,28,53,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83
01/04/2017,2,14,48,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64
01/05/2017,3,23,67,0,93,0,0,2,0,2,0,0,44,0,44,0,0,5,0,5,79,0,79,216,223
01/06/2017,2,30,66,0,98,0,0,0,0,0,0,2,53,0,55,0,0,0,0,0,82,0,82,235,235
01/07/2017,1,4,61,0,66,0,0,0,0,0,0,0,61,0,61,0,0,3,0,3,166,0,166,293,296
01/08/2017,1,12,50,0,63,0,0,0,0,0,0,1,86,0,87,0,0,8,0,8,233,0,233,383,391
01/09/2017,0,26,59,0,85,0,1,1,0,2,0,3,60,0,63,0,1,3,0,4,91,0,91,239,245
01/10/2017,0,22,42,0,64,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,64,66
01/11/2017,2,32,76,0,110,0,1,1,0,2,3,1,31,0,35,0,0,3,0,3,51,0,51,196,201
01/12/2017,0,20,57,0,77,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,78,78
01/13/2017,0,38,62,0,100,0,0,1,0,1,0,7,63,0,70,0,0,12,0,12,133,0,133,303,316
01/14/2017,0,12,48,0,60,0,0,0,0,0,0,4,108,0,112,0,0,12,0,12,211,0,211,383,395
01/15/2017,2,15,47,0,64,0,1,0,0,1,0,1,122,0,123,0,0,11,0,11,277,0,277,464,476
01/16/2017,1,22,42,0,65,0,0,2,0,2,0,0,13,0,13,0,0,2,0,2,35,0,35,113,117
01/17/2017,0,23,42,0,65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,66
01/18/2017,2,22,63,0,87,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,88,89
01/19/2017,0,30,83,0,113,0,0,2,0,2,2,12,43,0,57,0,0,0,0,0,62,0,62,232,234
01/20/2017,1,24,72,0,97,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,98
01/21/2017,2,14,69,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,100,100
