OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PWK,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,30,26,0,56,0,0,0,0,0,0,0,48,0,48,0,0,3,0,3,70,0,70,174,177
01/02/2017,0,45,77,0,122,0,1,0,0,1,0,0,4,0,4,0,0,1,0,1,44,0,44,170,172
01/03/2017,0,20,37,0,57,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,60,60
01/04/2017,0,25,44,0,69,0,0,0,0,0,0,0,48,0,48,0,0,3,0,3,14,0,14,131,134
01/05/2017,0,25,39,0,64,0,0,0,0,0,0,2,38,0,40,0,0,1,0,1,54,0,54,158,159
01/06/2017,0,37,61,0,98,0,0,0,0,0,0,5,23,0,28,0,0,1,0,1,18,0,18,144,145
01/07/2017,0,24,25,0,49,0,0,0,0,0,0,1,72,0,73,0,0,8,1,9,46,0,46,168,177
01/08/2017,0,39,41,0,80,0,0,0,0,0,0,0,56,0,56,0,0,0,0,0,44,0,44,180,180
01/09/2017,0,36,42,0,78,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,30,0,30,134,134
01/10/2017,0,19,34,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
01/11/2017,0,21,50,0,71,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,36,0,36,108,109
01/12/2017,0,43,51,0,94,0,0,0,0,0,0,6,14,0,20,0,0,1,0,1,18,0,18,132,133
01/13/2017,0,26,50,0,76,0,0,0,0,0,0,2,44,0,46,0,0,1,0,1,86,0,86,208,209
01/14/2017,0,16,21,0,37,0,0,0,0,0,0,1,69,0,70,0,0,5,0,5,84,0,84,191,196
01/15/2017,0,15,42,0,57,0,0,0,0,0,0,0,73,0,73,0,0,6,0,6,90,0,90,220,226
01/16/2017,0,11,32,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43
01/17/2017,0,38,52,2,92,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,93
01/18/2017,0,34,68,0,102,0,0,1,0,1,0,1,3,0,4,0,0,0,0,0,0,0,0,106,107
01/19/2017,0,43,90,0,133,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,136,136
01/20/2017,0,23,57,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80
01/21/2017,0,25,38,0,63,0,0,0,0,0,0,0,53,0,53,0,0,5,0,5,74,0,74,190,195
