OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=PWM,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,40,29,0,0,69,0,0,0,0,0,0,3,11,0,14,0,1,1,0,2,0,0,0,83,85
01/02/2017,44,32,8,0,84,0,0,0,0,0,0,1,37,0,38,0,0,4,0,4,78,0,78,200,204
01/03/2017,43,31,8,0,82,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,84,85
01/04/2017,32,38,6,0,76,0,0,0,0,0,0,1,9,0,10,0,1,1,0,2,21,0,21,107,109
01/05/2017,39,32,22,1,94,0,1,0,0,1,0,5,16,0,21,0,2,3,0,5,0,0,0,115,121
01/06/2017,40,30,4,2,76,0,0,0,0,0,0,1,17,0,18,0,2,0,1,3,8,0,8,102,105
01/07/2017,32,18,1,1,52,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,67,67
01/08/2017,35,21,9,0,65,0,0,0,0,0,0,1,9,0,10,0,1,2,1,4,0,0,0,75,79
01/09/2017,36,29,19,1,85,0,0,0,1,1,0,4,14,1,19,0,2,5,0,7,0,0,0,104,112
01/10/2017,34,38,12,0,84,0,1,0,0,1,0,0,6,0,6,0,1,0,0,1,0,0,0,90,92
01/11/2017,33,38,13,1,85,0,0,0,0,0,0,2,7,0,9,0,0,1,1,2,0,0,0,94,96
01/12/2017,40,35,20,1,96,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,12,0,12,109,111
01/13/2017,36,36,13,0,85,0,0,0,0,0,0,2,22,1,25,0,1,0,0,1,0,0,0,110,111
01/14/2017,26,28,4,1,59,0,0,0,0,0,0,1,29,1,31,0,1,3,0,4,18,0,18,108,112
01/15/2017,32,25,5,0,62,0,0,1,0,1,0,4,16,0,20,0,0,2,0,2,0,0,0,82,85
01/16/2017,37,31,16,0,84,0,2,1,0,3,0,0,38,0,38,0,2,2,0,4,0,0,0,122,129
01/17/2017,36,35,10,0,81,0,0,0,0,0,0,5,19,0,24,0,1,1,0,2,0,0,0,105,107
01/18/2017,37,31,9,0,77,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,78
01/19/2017,38,35,11,0,84,0,1,0,0,1,0,0,7,0,7,0,0,0,0,0,2,0,2,93,94
01/20/2017,39,37,34,0,110,0,1,0,0,1,0,6,44,0,50,0,3,6,0,9,10,0,10,170,180
01/21/2017,32,20,8,1,61,0,0,0,0,0,0,1,21,1,23,0,0,3,0,3,10,0,10,94,97
