OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=RAL,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,0,12,0,12,0,0,7,0,7,0,14,36,0,50,0,2,8,0,10,52,0,52,114,131
01/02/2017,0,0,5,0,5,0,0,5,0,5,0,14,49,0,63,0,0,12,0,12,142,0,142,210,227
01/03/2017,0,0,24,0,24,0,0,18,0,18,0,9,112,0,121,0,1,11,0,12,134,0,134,279,309
01/04/2017,0,0,17,0,17,0,0,17,0,17,0,17,125,0,142,0,1,28,1,30,181,0,181,340,387
01/05/2017,0,0,2,0,2,0,0,4,0,4,0,5,7,0,12,0,2,1,0,3,4,0,4,18,25
01/06/2017,0,0,33,0,33,0,0,10,0,10,0,12,100,0,112,0,0,26,0,26,265,0,265,410,446
01/07/2017,0,8,20,0,28,0,0,7,0,7,0,13,82,0,95,0,1,25,0,26,144,0,144,267,300
01/08/2017,0,0,10,0,10,0,0,16,0,16,0,14,95,0,109,0,0,22,0,22,154,0,154,273,311
01/09/2017,0,0,9,0,9,0,0,2,0,2,0,4,10,0,14,0,0,0,0,0,10,0,10,33,35
01/10/2017,0,0,27,0,27,0,0,4,0,4,0,6,41,0,47,0,1,2,1,4,108,0,108,182,190
01/11/2017,0,0,22,0,22,0,0,3,0,3,0,10,92,0,102,0,0,9,0,9,246,0,246,370,382
01/12/2017,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,38,0,38,40,43
01/13/2017,0,0,28,0,28,0,0,2,0,2,0,17,128,0,145,0,1,14,0,15,260,0,260,433,450
01/14/2017,0,0,19,0,19,0,0,4,0,4,0,6,71,0,77,0,0,8,0,8,45,0,45,141,153
01/15/2017,0,0,30,0,30,0,0,9,0,9,0,11,77,0,88,0,0,24,0,24,127,0,127,245,278
01/16/2017,0,0,18,0,18,0,0,11,0,11,0,18,101,0,119,0,1,13,0,14,85,0,85,222,247
01/17/2017,0,0,22,0,22,0,0,10,0,10,0,13,186,0,199,0,1,41,0,42,111,6,117,338,390
01/18/2017,0,0,34,0,34,0,0,13,0,13,0,14,179,3,196,0,0,26,0,26,341,0,341,571,610
01/19/2017,0,0,6,0,6,0,0,3,0,3,0,7,45,0,52,0,11,3,0,14,100,0,100,158,175
01/20/2017,0,0,4,0,4,0,0,0,0,0,0,2,2,0,4,0,0,4,0,4,16,0,16,24,28
01/21/2017,0,1,17,0,18,0,0,5,0,5,0,12,124,2,138,0,0,27,0,27,141,0,141,297,329
