OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=RAP,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,3,28,6,0,37,0,0,0,0,0,0,2,7,0,9,0,0,0,0,0,4,0,4,50,50
01/02/2017,8,32,3,0,43,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,44,44
01/03/2017,4,31,6,0,41,0,0,0,0,0,0,1,3,0,4,0,0,2,0,2,0,0,0,45,47
01/04/2017,5,33,14,2,54,0,0,0,1,1,0,0,2,0,2,0,0,0,1,1,0,0,0,56,58
01/05/2017,5,30,26,2,63,0,0,0,1,1,0,3,4,7,14,0,0,0,0,0,2,0,2,79,80
01/06/2017,7,27,19,7,60,0,0,0,2,2,0,0,24,24,48,0,0,0,2,2,16,4,20,128,132
01/07/2017,4,22,9,0,35,0,0,0,0,0,0,0,11,20,31,0,0,0,0,0,8,0,8,74,74
01/08/2017,5,23,12,0,40,0,0,0,0,0,0,3,29,10,42,0,0,0,0,0,20,0,20,102,102
01/09/2017,12,22,8,0,42,0,0,0,5,5,0,0,23,0,23,0,0,6,3,9,20,0,20,85,99
01/10/2017,8,28,20,1,57,0,0,0,1,1,0,0,6,2,8,0,0,0,0,0,6,0,6,71,72
01/11/2017,8,25,19,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56
01/12/2017,8,27,19,1,55,0,0,0,2,2,0,0,16,17,33,0,0,0,0,0,22,0,22,110,112
01/13/2017,11,24,17,0,52,0,0,0,5,5,0,0,21,4,25,0,0,3,2,5,76,0,76,153,163
01/14/2017,8,19,3,2,32,0,0,0,0,0,0,3,22,0,25,0,0,2,0,2,44,0,44,101,103
01/15/2017,7,12,12,0,31,0,0,0,0,0,0,0,27,0,27,0,0,0,0,0,34,0,34,92,92
01/16/2017,12,19,16,0,47,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,26,0,26,89,89
01/17/2017,8,30,16,0,54,0,0,0,7,7,0,0,22,2,24,0,1,0,2,3,28,2,30,108,118
01/18/2017,10,24,15,0,49,2,0,0,2,4,0,3,48,22,73,0,0,0,0,0,64,2,66,188,192
01/19/2017,8,23,34,1,66,0,0,0,3,3,0,4,27,17,48,0,0,0,0,0,32,14,46,160,163
01/20/2017,11,26,9,0,46,0,0,0,0,0,0,1,16,6,23,0,0,0,0,0,0,0,0,69,69
01/21/2017,6,20,9,1,36,1,0,0,0,1,0,0,39,0,39,0,0,0,0,0,86,0,86,161,162
