OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=RDG,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
01/01/2017,0,2,14,0,16,0,2,7,0,9,0,2,72,0,74,0,0,10,0,10,26,0,26,116,135
01/02/2017,0,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
01/03/2017,0,19,23,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42
01/04/2017,0,25,43,0,68,0,3,2,0,5,0,6,43,5,54,0,0,5,2,7,50,0,50,172,184
01/05/2017,0,26,32,11,69,0,6,4,0,10,0,11,84,5,100,0,0,11,0,11,108,2,110,279,300
01/06/2017,0,13,24,2,39,0,5,7,0,12,0,12,74,5,91,0,0,9,1,10,76,2,78,208,230
01/07/2017,0,6,6,0,12,0,4,0,1,5,0,5,2,0,7,0,0,0,0,0,0,0,0,19,24
01/08/2017,0,10,11,4,25,0,0,1,0,1,0,3,10,6,19,0,0,2,0,2,0,0,0,44,47
01/09/2017,0,12,43,6,61,0,2,3,0,5,0,8,25,4,37,0,0,3,0,3,78,0,78,176,184
01/10/2017,0,13,40,7,60,0,0,1,0,1,0,4,30,1,35,0,0,5,0,5,16,0,16,111,117
01/11/2017,0,18,25,8,51,0,2,6,1,9,0,9,51,1,61,0,0,2,0,2,60,2,62,174,185
01/12/2017,0,12,19,3,34,0,2,0,1,3,0,3,22,1,26,0,0,1,0,1,16,2,18,78,82
01/13/2017,0,15,22,0,37,0,4,2,1,7,0,8,33,1,42,0,0,7,0,7,62,0,62,141,155
01/14/2017,0,6,16,0,22,0,1,1,0,2,0,0,26,0,26,0,0,0,0,0,31,0,31,79,81
01/15/2017,0,1,44,0,45,0,2,3,0,5,0,5,100,0,105,0,0,12,0,12,86,0,86,236,253
01/16/2017,0,17,49,0,66,0,2,2,0,4,0,8,70,0,78,0,0,8,0,8,90,0,90,234,246
01/17/2017,0,29,24,0,53,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,53,55
01/18/2017,0,27,35,4,66,0,1,0,0,1,0,5,36,0,41,0,0,18,0,18,62,0,62,169,188
01/19/2017,0,18,35,8,61,0,0,0,0,0,0,17,87,8,112,0,0,13,5,18,120,0,120,293,311
01/20/2017,0,12,16,0,28,0,0,2,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,31,33
01/21/2017,0,5,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
